%time,field.mx,field.my,field.fz,field.t
1685055870433056400,1.0,43.0,5.88,55870.50356078148
1685055870433084100,1.0,44.0,5.88,55870.514105558395
1685055870433096900,0.0,44.0,3.92,55870.52468585968
1685055870433182800,-1.0,44.0,5.88,55870.535549640656
1685055870502676800,-2.0,44.0,3.92,55870.54609465599
1685055870502694000,-3.0,44.0,3.92,55870.55734086037
1685055870502769200,-3.0,44.0,3.92,55870.567828178406
1685055870502776500,-3.0,43.0,1.96,55870.57840323448
1685055870502840500,-3.0,43.0,1.96,55870.58892202377
1685055870502999100,-3.0,43.0,1.96,55870.59957242012
1685055870550371400,-3.0,42.0,0.0,55870.61007666588
1685055870550387000,-3.0,42.0,0.0,55870.62057828903
1685055870550440800,-2.0,41.0,0.0,55870.63300991058
1685055870550488400,-2.0,40.0,-1.96,55870.64356803894
1685055870550553100,-1.0,39.0,-3.92,55870.6548371315
1685055870550631900,-1.0,39.0,-3.92,55870.66534638405
1685055870597962300,0.0,38.0,-5.88,55870.675995111465
1685055870597976000,0.0,38.0,-3.92,55870.68659210205
1685055870598011300,2.0,38.0,-3.92,55870.69718194008
1685055870598016600,2.0,39.0,-3.92,55870.70778751373
1685055870645682500,3.0,38.0,-3.92,55870.718334913254
1685055870645701300,4.0,39.0,-1.96,55870.730105638504
1685055870645705200,4.0,39.0,-3.92,55870.74085187912
1685055870645767300,5.0,40.0,0.0,55870.751497745514
1685055870645858100,6.0,40.0,0.0,55870.76207590103
1685055870695014900,6.0,40.0,1.96,55870.77258491516
1685055870695028800,6.0,41.0,1.96,55870.78310084343
1685055870695092100,7.0,41.0,3.92,55870.79382252693
1685055870695097800,7.0,42.0,3.92,55870.80434370041
1685055870748102200,7.0,42.0,5.88,55870.81503248215
1685055870748184800,7.0,43.0,7.84,55870.8265171051
1685055870748211900,8.0,44.0,7.84,55870.83874988556
1685055870748264200,9.0,45.0,9.8,55870.84931349754
1685055870748270100,9.0,45.0,9.8,55870.859822034836
