%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.theta_cmd,field.alpha_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1685055870526799300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,55870.59765625,1.0
1685055870526815800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,55870.609375,1.0
1685055870526905200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,55870.6171875,1.0
1685055870526914900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,55870.62890625,1.0
1685055870527002100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,55870.63671875,1.0
1685055870578725700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,55870.6484375,1.0
1685055870578739200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,0.0,0.0,55870.65625,1.0
1685055870578827000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.66796875,1.0
1685055870578839800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.67578125,1.0
1685055870578907200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.6875,1.0
1685055870629314600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.69921875,1.0
1685055870629328800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.70703125,1.0
1685055870629423700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.71875,1.0
1685055870629435100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.7265625,1.0
1685055870629490200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.73828125,1.0
1685055870686905500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.74609375,1.0
1685055870686924800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,25.0,20.0,0.0,55870.7578125,1.0
1685055870686964700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.76953125,1.0
1685055870687004700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.77734375,1.0
1685055870687088400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.7890625,1.0
1685055870747689800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.796875,1.0
1685055870747700900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.80859375,1.0
1685055870747751900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.81640625,1.0
1685055870747758200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.828125,1.0
1685055870747809000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.8359375,1.0
1685055870747851500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.84765625,1.0
1685055870795915900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,45.5,0.0,11.100000381469727,0.0,55870.859375,1.0
1685055870795922200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.8671875,1.0
1685055870795987900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.87890625,1.0
1685055870796000700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.88671875,1.0
1685055870796043300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.8984375,1.0
1685055870796095900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.90625,1.0
1685055870848907100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.91796875,1.0
1685055870848936100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.9296875,1.0
1685055870848976200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.9375,1.0
1685055870848981700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.94921875,1.0
1685055870849053000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,0.0,0.0,0.0,55870.95703125,1.0
1685055870897827500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55870.96875,1.0
1685055870897882200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55870.9765625,1.0
1685055870897894300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55870.98828125,1.0
1685055870897914300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55870.99609375,1.0
1685055870897978300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55871.0078125,1.0
1685055870962030000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55871.01953125,1.0
1685055870962043300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55871.02734375,1.0
1685055870962062600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55871.0390625,1.0
1685055870962138400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55871.046875,1.0
1685055870962168200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,60.0,0.0,11.100000381469727,0.0,55871.05859375,1.0
1685055871011772400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.06640625,1.0
1685055871011786200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.078125,1.0
1685055871011835000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.0859375,1.0
1685055871011841600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.09765625,1.0
1685055871011870200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.109375,1.0
1685055871011989700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.1171875,1.0
1685055871012001500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.12890625,1.0
1685055871070611700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.13671875,1.0
1685055871070646000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.1484375,1.0
1685055871070682300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,53.79999923706055,0.0,0.0,0.0,55871.15625,1.0
1685055871070688100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.16796875,1.0
1685055871118939200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.1796875,1.0
1685055871119010900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.1875,1.0
1685055871119017100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.19921875,1.0
1685055871119089700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.20703125,1.0
1685055871119098800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.21875,1.0
1685055871119173400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.2265625,1.0
1685055871172973300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.23828125,1.0
1685055871173048800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.24609375,1.0
1685055871173120500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.2578125,1.0
1685055871173133200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,20.0,0.0,55871.26953125,1.0
1685055871173171900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.27734375,1.0
1685055871223175400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.2890625,1.0
1685055871223180500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.296875,1.0
1685055871223241700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.30859375,1.0
1685055871223270800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.31640625,1.0
1685055871223355700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.328125,1.0
1685055871223368900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.33984375,1.0
1685055871283828200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.34765625,1.0
1685055871283847700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.359375,1.0
1685055871283866700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,57.099998474121094,25.0,0.0,0.0,55871.3671875,1.0
1685055871283878100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.37890625,1.0
1685055871283918000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.38671875,1.0
1685055871343573300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.3984375,1.0
1685055871343590900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.40625,1.0
1685055871343595700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.41796875,1.0
1685055871343646100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.42578125,1.0
1685055871343747300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.4375,1.0
1685055871399346700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.44921875,1.0
1685055871399354300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.45703125,1.0
1685055871399408800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,56.29999923706055,33.29999923706055,11.100000381469727,0.0,55871.46875,1.0
1685055871399517600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.4765625,1.0
1685055871399524600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.48828125,1.0
1685055871399543600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.49609375,1.0
1685055871399575200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.5078125,1.0
1685055871450416700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.51953125,1.0
1685055871450427800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.52734375,1.0
1685055871450431200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.5390625,1.0
1685055871450515000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.546875,1.0
1685055871450614600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.55859375,1.0
1685055871500819700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.56640625,1.0
1685055871500835900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.578125,1.0
1685055871500842000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.58984375,1.0
1685055871500846000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.59765625,1.0
1685055871500853700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.609375,1.0
1685055871549086400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.6171875,1.0
1685055871549162300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.62890625,1.0
1685055871549167400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.63671875,1.0
1685055871549196100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.6484375,1.0
1685055871549266100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.65625,1.0
1685055871601528900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,77.80000305175781,44.400001525878906,0.0,55871.66796875,1.0
1685055871601534400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.6796875,1.0
1685055871601612100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.6875,1.0
1685055871601624500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.69921875,1.0
1685055871601699000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.70703125,1.0
1685055871601705900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.71875,1.0
1685055871650562300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.7265625,1.0
1685055871650576900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.73828125,1.0
1685055871650646300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.74609375,1.0
1685055871650651100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.7578125,1.0
1685055871707515000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,25.0,0.0,0.0,55871.76953125,1.0
1685055871707569400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.77734375,1.0
1685055871707643700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.7890625,1.0
1685055871707657400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.796875,1.0
1685055871707661800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.80859375,1.0
1685055871707731600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.81640625,1.0
1685055871761721000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.828125,1.0
1685055871761734000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.8359375,1.0
1685055871761786900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.84765625,1.0
1685055871761796100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.859375,1.0
1685055871761827800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.8671875,1.0
1685055871810225000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.87890625,1.0
1685055871810247300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.88671875,1.0
1685055871810316500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.8984375,1.0
1685055871810401800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.90625,1.0
1685055871810417600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.91796875,1.0
1685055871857845400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.9296875,1.0
1685055871857857000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.9375,1.0
1685055871857900000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.94921875,1.0
1685055871857973600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.95703125,1.0
1685055871858007800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,0.0,11.100000381469727,0.0,55871.96875,1.0
1685055871906709300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,40.0,0.0,0.0,55871.9765625,1.0
1685055871906774700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,62.5,40.0,0.0,0.0,55871.98828125,1.0
