%time,field.mx,field.my,field.fz,field.t
1692119219963570400,-40.0,117.0,-39.2,19220.211891651154
1692119219963607200,-39.0,118.0,-39.2,19220.222340345383
1692119219963613700,-38.0,119.0,-37.24,19220.232768058777
1692119219963617400,-40.0,119.0,-39.2,19220.243248701096
1692119220022690000,-39.0,119.0,-37.24,19220.253637075424
1692119220022720500,-40.0,119.0,-41.16,19220.264060735703
1692119220022728400,-40.0,119.0,-39.2,19220.275896072388
1692119220022768200,-39.0,120.0,-39.2,19220.28632259369
1692119220022780200,-41.0,120.0,-41.16,19220.296785354614
1692119220069158400,-42.0,119.0,-41.16,19220.307154893875
1692119220069187300,-42.0,119.0,-41.16,19220.317547798157
1692119220069426700,-42.0,120.0,-43.12,19220.3283097744
1692119220069706300,-42.0,120.0,-45.08,19220.338770627975
1692119220069751300,-41.0,119.0,-43.12,19220.34920334816
1692119220117143600,-43.0,119.0,-43.12,19220.35962152481
1692119220117173700,-43.0,117.0,-47.04,19220.37004518509
1692119220117179900,-43.0,116.0,-45.08,19220.380521297455
1692119220117196700,-43.0,115.0,-47.04,19220.39097070694
1692119220117200000,-43.0,115.0,-45.08,19220.401356458664
1692119220165499300,-43.0,113.0,-47.04,19220.411762952805
1692119220165536600,-43.0,113.0,-49.0,19220.422892332077
1692119220165541800,-42.0,113.0,-49.0,19220.433300495148
1692119220165555700,-41.0,111.0,-49.0,19220.443729877472
1692119220216965500,-41.0,111.0,-49.0,19220.454161405563
1692119220216999500,-41.0,110.0,-49.0,19220.464742183685
1692119220217006400,-40.0,112.0,-49.0,19220.475272893906
1692119220217078700,-40.0,112.0,-49.0,19220.48578953743
1692119220217126000,-40.0,112.0,-47.04,19220.49636411667
1692119220267069900,-41.0,112.0,-49.0,19220.50687479973
1692119220267101200,-40.0,112.0,-47.04,19220.517510414124
1692119220267106800,-40.0,113.0,-47.04,19220.530553102493
1692119220267111300,-40.0,113.0,-49.0,19220.541127443314
1692119220267378700,-39.0,115.0,-47.04,19220.551649570465
1692119220316603500,-40.0,115.0,-47.04,19220.562257766724
1692119220316658800,-38.0,116.0,-45.08,19220.572740793228
1692119220316875200,-40.0,117.0,-43.12,19220.583296060562
1692119220317308200,-40.0,117.0,-43.12,19220.593802928925
1692119220317339500,-38.0,119.0,-41.16,19220.604288339615
1692119220366895400,-39.0,120.0,-43.12,19220.614784002304
1692119220366942000,-37.0,121.0,-41.16,19220.625281095505
1692119220366950400,-38.0,122.0,-39.2,19220.635758161545
1692119220366954500,-38.0,122.0,-39.2,19220.646278619766
1692119220417775500,-37.0,123.0,-39.2,19220.65678548813
1692119220417814700,-38.0,123.0,-39.2,19220.66728925705
1692119220417820400,-37.0,124.0,-37.24,19220.677910089493
1692119220417824600,-38.0,124.0,-39.2,19220.688457012177
1692119220417841100,-38.0,124.0,-39.2,19220.6990609169
1692119220466795400,-38.0,125.0,-37.24,19220.709540128708
1692119220466838600,-38.0,125.0,-37.24,19220.720053434372
1692119220466866800,-37.0,125.0,-37.24,19220.73056101799
1692119220466882900,-38.0,124.0,-37.24,19220.741096019745
1692119220466887800,-36.0,125.0,-35.28,19220.751531124115
1692119220525733900,-37.0,124.0,-35.28,19220.762851953506
1692119220525770500,-36.0,125.0,-33.32,19220.774487495422
1692119220525777500,-36.0,125.0,-35.28,19220.78506755829
1692119220525798500,-37.0,125.0,-37.24,19220.795543909073
1692119220525806600,-35.0,125.0,-35.28,19220.806039333344
1692119220575836600,-37.0,125.0,-35.28,19220.81655073166
1692119220576056600,-36.0,126.0,-33.32,19220.82705259323
1692119220576328800,-36.0,125.0,-35.28,19220.837547540665
1692119220576571200,-37.0,125.0,-35.28,19220.848222970963
1692119220576604500,-36.0,125.0,-33.32,19220.85877585411
1692119220629920100,-36.0,125.0,-35.28,19220.872023820877
1692119220629959100,-36.0,126.0,-33.32,19220.882534742355
1692119220629964600,-37.0,125.0,-35.28,19220.89303612709
1692119220629977800,-36.0,126.0,-33.32,19220.903537511826
1692119220630126100,-36.0,126.0,-35.28,19220.91405272484
1692119220677404600,-37.0,125.0,-35.28,19220.924569129944
1692119220677461400,-36.0,126.0,-33.32,19220.93506002426
1692119220677470800,-37.0,125.0,-35.28,19220.94587779045
1692119220677495900,-37.0,126.0,-33.32,19220.956780195236
1692119220727328200,-38.0,125.0,-35.28,19220.969460248947
1692119220727364700,-37.0,126.0,-35.28,19220.980023145676
1692119220727375400,-38.0,125.0,-35.28,19220.990507125854
1692119220727380300,-38.0,125.0,-37.24,19221.001047611237
1692119220727387500,-39.0,124.0,-37.24,19221.011643886566
1692119220780657000,-38.0,125.0,-37.24,19221.022146463394
1692119220780690200,-38.0,123.0,-37.24,19221.032757282257
1692119220780705600,-39.0,123.0,-39.2,19221.04326891899
1692119220780714100,-40.0,122.0,-39.2,19221.05380821228
1692119220780737500,-40.0,122.0,-41.16,19221.066921710968
1692119220829766100,-40.0,120.0,-39.2,19221.07748746872
1692119220829807000,-39.0,120.0,-41.16,19221.088057279587
1692119220829835300,-39.0,119.0,-41.16,19221.09860610962
