%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.theta_cmd,field.alpha_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1692119278926233000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,50.0,73.30000305175781,0.0,19279.146484375,1.0
1692119278926270200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,50.0,73.30000305175781,0.0,19279.158203125,1.0
1692119278926712800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,50.0,73.30000305175781,0.0,19279.16796875,1.0
1692119278926744500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.177734375,1.0
1692119278926749500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.1875,1.0
1692119278927148500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.197265625,1.0
1692119278927189100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.20703125,1.0
1692119279005461500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.216796875,1.0
1692119279005523400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.2265625,1.0
1692119279005528900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.23828125,1.0
1692119279005533400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.248046875,1.0
1692119279005543100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.2578125,1.0
1692119279005556700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,42.900001525878906,71.4000015258789,0.0,19279.267578125,1.0
1692119279005563100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.27734375,1.0
1692119279005568700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.287109375,1.0
1692119279115285500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.296875,1.0
1692119279115322500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.306640625,1.0
1692119279115327700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.31640625,1.0
1692119279115332200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.328125,1.0
1692119279115749200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.337890625,1.0
1692119279115780200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.34765625,1.0
1692119279115785300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.357421875,1.0
1692119279115961600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,71.4000015258789,0.0,19279.3671875,1.0
1692119279116004300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.376953125,1.0
1692119279116098300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.38671875,1.0
1692119279167841700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.3984375,1.0
1692119279167874000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.408203125,1.0
1692119279167879700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.41796875,1.0
1692119279167884200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.427734375,1.0
1692119279167898000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.4375,1.0
1692119279167902400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.447265625,1.0
1692119279241012300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.45703125,1.0
1692119279241051100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79999923706055,76.9000015258789,10.0,19279.466796875,1.0
1692119279241058500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.4765625,1.0
1692119279241063600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.48828125,1.0
1692119279241211400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.498046875,1.0
1692119279241219600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.5078125,1.0
1692119279241667800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.517578125,1.0
1692119279316047500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.52734375,1.0
1692119279316102700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.537109375,1.0
1692119279316109200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.546875,1.0
1692119279316114100,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.55859375,1.0
1692119279316130100,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,71.4000015258789,0.0,19279.568359375,1.0
1692119279316140000,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.578125,1.0
1692119279316145000,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.587890625,1.0
1692119279427469700,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.59765625,1.0
1692119279427507200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.607421875,1.0
1692119279427510800,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.6171875,1.0
1692119279427514300,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.626953125,1.0
1692119279427529500,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.63671875,1.0
1692119279427539700,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.646484375,1.0
1692119279427545600,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.658203125,1.0
1692119279427550200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,33.29999923706055,62.5,76.9000015258789,10.0,19279.66796875,1.0
1692119279427564600,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.677734375,1.0
1692119279427942800,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.6875,1.0
1692119279428018200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.697265625,1.0
1692119279490393500,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.70703125,1.0
1692119279490426600,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.716796875,1.0
1692119279490432200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.7265625,1.0
1692119279490436600,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.73828125,1.0
1692119279490440800,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.748046875,1.0
1692119279490576900,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.7578125,1.0
1692119279548350500,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,76.9000015258789,0.0,19279.767578125,1.0
1692119279548388200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.77734375,1.0
1692119279548397800,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.787109375,1.0
1692119279548476600,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.796875,1.0
1692119279548492500,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.806640625,1.0
1692119279548509100,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.818359375,1.0
1692119279548560900,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.828125,1.0
1692119279637395200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.837890625,1.0
1692119279637424300,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.84765625,1.0
1692119279637428600,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.857421875,1.0
1692119279637433300,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,22.200000762939453,56.29999923706055,71.4000015258789,0.0,19279.8671875,1.0
1692119279637477000,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.876953125,1.0
1692119279637480100,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.88671875,1.0
1692119279637499500,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.896484375,1.0
1692119279714084200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.908203125,1.0
1692119279714116900,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.91796875,1.0
1692119279714122100,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.927734375,1.0
1692119279714126500,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.9375,1.0
1692119279714132200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.947265625,1.0
1692119279714200200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.95703125,1.0
1692119279714234900,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,30.0,56.20000076293945,72.69999694824219,0.0,19279.966796875,1.0
1692119279714243200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19279.9765625,1.0
1692119279714295400,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19279.98828125,1.0
1692119279804010600,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19279.998046875,1.0
1692119279804042300,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19280.0078125,1.0
1692119279804047800,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19280.017578125,1.0
1692119279804053900,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19280.02734375,1.0
1692119279804060100,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19280.037109375,1.0
1692119279804330600,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19280.046875,1.0
1692119279804362200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19280.056640625,1.0
1692119279804367300,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.599998474121094,62.5,0.0,19280.068359375,1.0
1692119279865082900,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.078125,1.0
1692119279865118300,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.087890625,1.0
1692119279865124500,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.09765625,1.0
1692119279865133200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.107421875,1.0
1692119279865138000,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.1171875,1.0
1692119279865184000,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.126953125,1.0
1692119279865375400,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.13671875,1.0
1692119279865822300,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.146484375,1.0
1692119279928355200,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.158203125,1.0
1692119279928393600,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.16796875,1.0
1692119279928571900,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.29999923706055,71.4000015258789,0.0,19280.177734375,1.0
1692119279928872500,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,76.9000015258789,0.0,19280.1875,1.0
1692119279928951900,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,76.9000015258789,0.0,19280.197265625,1.0
1692119279929149100,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,76.9000015258789,0.0,19280.20703125,1.0
1692119280001203100,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,76.9000015258789,0.0,19280.216796875,1.0
1692119280001235100,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,76.9000015258789,0.0,19280.2265625,1.0
1692119280001239800,0,0,-80,283,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.900001525878906,76.9000015258789,0.0,19280.23828125,1.0
