%time,field.mx,field.my,field.fz,field.t
1692118607246947400,-4.0,172.0,-70.56,18607.48352432251
1692118607246977500,-4.0,172.0,-68.6,18607.493884563446
1692118607247184000,-4.0,171.0,-70.56,18607.50427341461
1692118607247208200,-4.0,171.0,-70.56,18607.514766931534
1692118607247430700,-4.0,171.0,-70.56,18607.52515935898
1692118607300629500,-4.0,171.0,-70.56,18607.535635471344
1692118607300658800,-3.0,172.0,-68.6,18607.54605126381
1692118607300664400,-4.0,172.0,-70.56,18607.55647778511
1692118607300681700,-4.0,172.0,-70.56,18607.566888809204
1692118607300705900,-4.0,171.0,-68.6,18607.578362226486
1692118607346788100,-4.0,172.0,-68.6,18607.58878493309
1692118607346816200,-4.0,172.0,-68.6,18607.5992102623
1692118607346820400,-4.0,172.0,-70.56,18607.60965371132
1692118607346824000,-5.0,171.0,-70.56,18607.620048999786
1692118607346827500,-4.0,172.0,-70.56,18607.630477666855
1692118607393680900,-5.0,172.0,-68.6,18607.64091038704
1692118607393710800,-6.0,172.0,-72.52,18607.651349782944
1692118607393721800,-6.0,171.0,-70.56,18607.661762475967
1692118607393755300,-4.0,172.0,-70.56,18607.672141075134
1692118607446105300,-4.0,172.0,-70.56,18607.682527780533
1692118607446134900,-5.0,171.0,-68.6,18607.693841934204
1692118607446154800,-3.0,171.0,-68.6,18607.704253435135
1692118607446171000,-3.0,172.0,-68.6,18607.714801073074
1692118607496001100,-3.0,172.0,-68.6,18607.725298404694
1692118607496032900,-4.0,172.0,-68.6,18607.735756874084
1692118607496037900,-3.0,172.0,-68.6,18607.746218681335
1692118607496072000,-3.0,173.0,-68.6,18607.7567152977
1692118607496275900,-4.0,172.0,-70.56,18607.767150640488
1692118607496299300,-3.0,172.0,-68.6,18607.777555942535
1692118607566428500,-3.0,172.0,-68.6,18607.788047790527
1692118607566460100,-3.0,172.0,-68.6,18607.79851579666
1692118607566622900,-3.0,172.0,-68.6,18607.809064865112
1692118607566781200,-3.0,172.0,-68.6,18607.820347309113
1692118607625470900,-3.0,172.0,-70.56,18607.830795049667
1692118607625511900,-4.0,172.0,-70.56,18607.841269016266
1692118607625824600,-5.0,172.0,-68.6,18607.851751089096
1692118607625891900,-5.0,171.0,-70.56,18607.86227464676
1692118607626064200,-4.0,173.0,-68.6,18607.872752666473
1692118607626203600,-5.0,172.0,-68.6,18607.883143424988
1692118607626360800,-4.0,172.0,-68.6,18607.893644809723
1692118607691802800,-5.0,172.0,-70.56,18607.90438055992
1692118607691828000,-5.0,171.0,-70.56,18607.91497516632
1692118607691846700,-5.0,171.0,-70.56,18607.92539048195
1692118607691851600,-4.0,172.0,-70.56,18607.93587088585
1692118607691864000,-5.0,171.0,-70.56,18607.946492433548
