%time,field.mx,field.my,field.fz,field.t
1692118094836859100,1.0,168.0,-37.24,18095.067683935165
1692118094837082200,0.0,167.0,-37.24,18095.0783970356
1692118094837107000,1.0,169.0,-39.2,18095.088921785355
1692118094837112100,2.0,169.0,-37.24,18095.099450349808
1692118094837295100,2.0,168.0,-37.24,18095.110788583755
1692118094889902700,3.0,169.0,-37.24,18095.12239909172
1692118094889939600,3.0,168.0,-37.24,18095.132910251617
1692118094890206800,2.0,168.0,-39.2,18095.14341855049
1692118094890237400,3.0,168.0,-39.2,18095.153935670853
1692118094936953300,3.0,169.0,-39.2,18095.164432287216
1692118094936992700,3.0,168.0,-41.16,18095.175412893295
1692118094937001000,3.0,169.0,-39.2,18095.185923099518
1692118094937178800,3.0,169.0,-41.16,18095.196449518204
1692118094937339400,3.0,169.0,-39.2,18095.207027435303
1692118094983637800,3.0,169.0,-39.2,18095.220365524292
1692118094983668900,3.0,169.0,-39.2,18095.230930805206
1692118094983674700,2.0,169.0,-39.2,18095.241439580917
1692118094983687500,2.0,168.0,-39.2,18095.2519903183
1692118094984005100,2.0,168.0,-39.2,18095.262595176697
1692118095034925900,1.0,168.0,-39.2,18095.273118019104
1692118095034947800,2.0,168.0,-39.2,18095.28367137909
1692118095034950200,1.0,168.0,-39.2,18095.29416489601
1692118095035000200,1.0,168.0,-41.16,18095.30477499962
1692118095081905200,2.0,169.0,-39.2,18095.31753563881
1692118095081933000,2.0,169.0,-41.16,18095.328187704086
1692118095082054400,3.0,169.0,-39.2,18095.338756799698
1692118095082205800,3.0,169.0,-39.2,18095.34942126274
1692118095082384500,3.0,169.0,-39.2,18095.360098838806
1692118095133425200,4.0,168.0,-39.2,18095.37068772316
1692118095133448600,4.0,169.0,-41.16,18095.381264209747
1692118095133450800,2.0,168.0,-41.16,18095.391897439957
1692118095133456200,2.0,168.0,-43.12,18095.40241599083
1692118095178821100,3.0,169.0,-41.16,18095.412929296494
1692118095178848100,3.0,168.0,-41.16,18095.423407316208
1692118095178865400,1.0,167.0,-41.16,18095.434000968933
1692118095178877200,2.0,169.0,-41.16,18095.44467663765
1692118095178889300,2.0,168.0,-41.16,18095.455164909363
1692118095226126800,1.0,168.0,-43.12,18095.465660095215
1692118095226288500,1.0,168.0,-43.12,18095.476163864136
1692118095226457600,0.0,167.0,-43.12,18095.486689329147
1692118095226640900,0.0,167.0,-45.08,18095.497359275818
1692118095281545600,0.0,167.0,-43.12,18095.508028507233
1692118095281807900,1.0,166.0,-43.12,18095.51866030693
1692118095281863700,0.0,166.0,-43.12,18095.529191493988
1692118095282038900,0.0,166.0,-43.12,18095.53979754448
1692118095282225700,-1.0,166.0,-45.08,18095.551617622375
1692118095343478800,1.0,167.0,-45.08,18095.5626578331
1692118095343504800,0.0,166.0,-45.08,18095.573154449463
1692118095343528700,1.0,166.0,-45.08,18095.583659887314
1692118095343538300,0.0,166.0,-47.04,18095.59415793419
1692118095343548100,1.0,166.0,-43.12,18095.604750156403
1692118095343551000,1.0,166.0,-45.08,18095.615280151367
1692118095388284600,0.0,166.0,-45.08,18095.625865221024
1692118095388322000,1.0,166.0,-45.08,18095.6364197731
1692118095388329600,2.0,166.0,-45.08,18095.648411989212
1692118095388363400,1.0,166.0,-47.04,18095.658931732178
1692118095443312900,2.0,167.0,-47.04,18095.669501066208
1692118095443336500,2.0,167.0,-45.08,18095.68051624298
1692118095443347400,1.0,167.0,-47.04,18095.691173791885
1692118095443362300,2.0,167.0,-47.04,18095.701677799225
1692118095443366700,1.0,166.0,-47.04,18095.712615966797
1692118095443371400,1.0,166.0,-47.04,18095.723181962967
1692118095488886000,1.0,166.0,-49.0,18095.73369193077
1692118095488912600,1.0,165.0,-47.04,18095.74569606781
1692118095488916400,1.0,165.0,-47.04,18095.75693678856
1692118095488935400,1.0,165.0,-47.04,18095.767439603806
1692118095541443900,1.0,165.0,-49.0,18095.77811717987
1692118095541468300,1.0,165.0,-49.0,18095.788688659668
1692118095541767100,1.0,165.0,-47.04,18095.79918909073
1692118095541796200,2.0,165.0,-47.04,18095.80989599228
1692118095589081800,3.0,166.0,-45.08,18095.820425987244
1692118095589111500,2.0,165.0,-45.08,18095.830924510956
1692118095589116500,2.0,165.0,-45.08,18095.84245276451
1692118095589131300,2.0,166.0,-47.04,18095.854388952255
1692118095589136900,2.0,166.0,-47.04,18095.864891052246
1692118095639465900,3.0,167.0,-45.08,18095.875412464142
1692118095639514100,4.0,166.0,-43.12,18095.885916233063
1692118095639604300,4.0,166.0,-43.12,18095.896466970444
1692118095639779800,3.0,166.0,-45.08,18095.907010555267
1692118095639788700,4.0,166.0,-43.12,18095.917657375336
1692118095692389900,3.0,166.0,-43.12,18095.92829465866
1692118095692425600,3.0,165.0,-43.12,18095.93964076042
1692118095692597200,3.0,165.0,-43.12,18095.95171403885
1692118095692763800,4.0,166.0,-43.12,18095.962451457977
1692118095744906800,3.0,166.0,-43.12,18095.97302389145
1692118095744926800,4.0,166.0,-41.16,18095.983711004257
1692118095745051500,3.0,165.0,-41.16,18095.99423599243
1692118095745228400,4.0,165.0,-41.16,18096.004778146744
1692118095745246400,3.0,164.0,-41.16,18096.015386343002
1692118095795305500,4.0,164.0,-41.16,18096.026497602463
1692118095795310800,4.0,165.0,-41.16,18096.0379884243
1692118095795336400,4.0,164.0,-39.2,18096.04993724823
1692118095795339600,3.0,164.0,-41.16,18096.060516119003
1692118095795343700,3.0,164.0,-41.16,18096.07116627693
1692118095856353400,3.0,165.0,-39.2,18096.081676006317
1692118095856627400,4.0,164.0,-39.2,18096.09227013588
1692118095856655800,3.0,164.0,-41.16,18096.102896928787
1692118095856661700,4.0,164.0,-39.2,18096.11340856552
1692118095906879400,3.0,164.0,-41.16,18096.123906850815
1692118095906915900,4.0,164.0,-41.16,18096.134422540665
1692118095906923700,5.0,164.0,-39.2,18096.14491057396
1692118095906933800,4.0,165.0,-41.16,18096.15540909767
1692118095907144200,4.0,164.0,-39.2,18096.165904045105
1692118095907358700,4.0,164.0,-41.16,18096.176449537277
1692118095907405300,5.0,165.0,-39.2,18096.1871073246
1692118095961919700,4.0,164.0,-39.2,18096.197682380676
1692118095962140800,4.0,165.0,-39.2,18096.20839524269
1692118095962166000,3.0,164.0,-41.16,18096.218930244446
1692118095962304300,4.0,165.0,-39.2,18096.229513645172
1692118096006893000,4.0,164.0,-39.2,18096.240176439285
1692118096006921900,3.0,164.0,-39.2,18096.25079894066
1692118096006925900,3.0,165.0,-39.2,18096.261399030685
1692118096006939800,3.0,163.0,-41.16,18096.27192759514
1692118096006943000,2.0,164.0,-41.16,18096.282670259476
1692118096063153200,2.0,164.0,-41.16,18096.293647289276
1692118096063377000,2.0,165.0,-41.16,18096.30416226387
1692118096063384100,1.0,164.0,-43.12,18096.314695119858
1692118096063387700,2.0,164.0,-41.16,18096.325248003006
1692118096063658800,4.0,164.0,-41.16,18096.335921764374
1692118096127544600,2.0,163.0,-41.16,18096.346482276917
1692118096127574500,3.0,164.0,-43.12,18096.357020139694
1692118096127578500,4.0,163.0,-41.16,18096.36777806282
1692118096127588100,3.0,163.0,-41.16,18096.380502462387
1692118096197318100,4.0,164.0,-43.12,18096.39126420021
1692118096197552600,5.0,163.0,-41.16,18096.401969194412
1692118096197756900,5.0,164.0,-39.2,18096.41251516342
1692118096197995700,3.0,163.0,-41.16,18096.423134326935
1692118096198298200,4.0,165.0,-41.16,18096.43367600441
1692118096198328600,3.0,164.0,-39.2,18096.44418144226
1692118096198640800,3.0,164.0,-39.2,18096.45467567444
1692118096251876700,4.0,165.0,-39.2,18096.46518945694
1692118096251903000,2.0,164.0,-41.16,18096.477524757385
1692118096251907600,2.0,165.0,-41.16,18096.488741636276
1692118096251937400,3.0,165.0,-39.2,18096.499359846115
1692118096251944200,4.0,165.0,-39.2,18096.510011911392
1692118096251948900,2.0,164.0,-39.2,18096.520646333694
1692118096251957800,3.0,165.0,-41.16,18096.531150579453
1692118096299581400,3.0,165.0,-39.2,18096.54166173935
1692118096299608700,4.0,165.0,-39.2,18096.552169799805
1692118096299913000,2.0,164.0,-41.16,18096.562683343887
1692118096299939400,2.0,164.0,-41.16,18096.57500600815
1692118096351128900,2.0,164.0,-41.16,18096.585915327072
1692118096351157800,3.0,164.0,-39.2,18096.59643626213
1692118096351161700,3.0,165.0,-39.2,18096.607001304626
1692118096351169100,2.0,164.0,-41.16,18096.6176571846
1692118096351213600,4.0,164.0,-39.2,18096.62827205658
1692118096410115000,2.0,164.0,-41.16,18096.638869285583
1692118096410138000,2.0,164.0,-41.16,18096.649406194687
1692118096410140200,3.0,164.0,-41.16,18096.65993618965
1692118096410159200,3.0,164.0,-39.2,18096.672293901443
1692118096410162400,2.0,164.0,-41.16,18096.683186769485
1692118096458810800,3.0,165.0,-41.16,18096.693695306778
1692118096458841300,3.0,164.0,-41.16,18096.704263925552
1692118096458846600,1.0,163.0,-43.12,18096.714899539948
1692118096458855300,2.0,163.0,-43.12,18096.725538253784
1692118096458891000,2.0,164.0,-41.16,18096.736155748367
1692118096508525600,3.0,163.0,-41.16,18096.746685743332
1692118096508554800,2.0,162.0,-41.16,18096.757192373276
1692118096508563300,2.0,163.0,-43.12,18096.768448352814
1692118096508589400,3.0,163.0,-43.12,18096.780628681183
1692118096561336800,2.0,162.0,-43.12,18096.791149139404
1692118096561368000,3.0,163.0,-43.12,18096.80166196823
1692118096561377900,3.0,163.0,-41.16,18096.812179088593
1692118096561424200,3.0,162.0,-41.16,18096.822750091553
1692118096561487800,4.0,163.0,-43.12,18096.83335518837
1692118096612960400,2.0,162.0,-43.12,18096.84391975403
1692118096612986700,2.0,162.0,-43.12,18096.85443687439
1692118096612990700,2.0,162.0,-43.12,18096.865252494812
1692118096612997300,2.0,161.0,-43.12,18096.87814450264
1692118096613011900,1.0,162.0,-43.12,18096.88866877556
1692118096671349400,1.0,161.0,-43.12,18096.89916062355
1692118096671395000,1.0,160.0,-43.12,18096.90969133377
1692118096671402000,0.0,159.0,-43.12,18096.920177698135
1692118096671411300,-1.0,159.0,-45.08,18096.930753707886
1692118096736261800,0.0,159.0,-45.08,18096.941607236862
1692118096736271000,0.0,159.0,-43.12,18096.952125549316
1692118096736505700,-1.0,158.0,-45.08,18096.962948799133
1692118096736726700,0.0,158.0,-47.04,18096.974941968918
1692118096736757300,1.0,158.0,-45.08,18096.985498905182
1692118096736869300,1.0,157.0,-47.04,18096.99615740776
1692118096813280500,2.0,157.0,-45.08,18097.00667643547
1692118096813308800,4.0,157.0,-43.12,18097.017177581787
1692118096813312900,3.0,156.0,-45.08,18097.027668714523
1692118096813321700,4.0,155.0,-45.08,18097.038254261017
1692118096813325100,5.0,156.0,-45.08,18097.048892974854
1692118096813404600,6.0,155.0,-45.08,18097.059432268143
1692118096813425700,7.0,153.0,-45.08,18097.070358753204
1692118096813432100,7.0,152.0,-45.08,18097.080899477005
1692118096813803100,7.0,152.0,-45.08,18097.091412067413
