%time,field.mx,field.my,field.fz,field.t
1692300512298827300,12.0,53.0,5.88,513.1726274490356
1692300512298856400,11.0,53.0,5.88,513.1832265853882
1692300512298860300,11.0,52.0,7.84,513.1937644481659
1692300512299064400,11.0,52.0,7.84,513.2042753696442
1692300512299374800,11.0,52.0,7.84,513.2147812843323
1692300512299402300,11.0,52.0,7.84,513.2252976894379
1692300512350443800,9.0,51.0,7.84,513.2358384132385
1692300512350476300,10.0,50.0,7.84,513.2463862895966
1692300512350522400,11.0,50.0,9.8,513.2568917274475
1692300512350529500,11.0,49.0,9.8,513.2675478458405
1692300512350533600,11.0,49.0,11.76,513.27805352211
1692300512397504500,11.0,48.0,11.76,513.2886643409729
1692300512397532800,11.0,48.0,11.76,513.2993097305298
1692300512397538200,11.0,47.0,11.76,513.3098409175873
1692300512397592500,10.0,46.0,11.76,513.3214848041534
1692300512444620300,8.0,44.0,9.8,513.3327252864838
1692300512444649700,8.0,43.0,9.8,513.3432891368866
1692300512444653600,10.0,42.0,11.76,513.3537888526917
1692300512444657300,10.0,41.0,13.719999999999999,513.3642976284027
1692300512492444300,9.0,39.0,13.719999999999999,513.3748037815094
1692300512492467100,10.0,38.0,13.719999999999999,513.3858573436737
1692300512492470800,11.0,38.0,13.719999999999999,513.396341085434
1692300512492474400,12.0,38.0,15.68,513.4069900512695
1692300512492486200,13.0,37.0,17.64,513.4184114933014
1692300512544009600,15.0,37.0,17.64,513.4290647506714
1692300512544038100,17.0,37.0,17.64,513.4396512508392
1692300512544042100,18.0,37.0,19.6,513.450318813324
1692300512544170200,21.0,36.0,23.52,513.4608125686646
1692300512591284500,22.0,37.0,23.52,513.4713487625122
1692300512591309900,21.0,37.0,21.56,513.4819140434265
1692300512591533900,22.0,37.0,23.52,513.4925754070282
1692300512591557800,21.0,37.0,21.56,513.5032653808594
1692300512591725900,21.0,36.0,21.56,513.5150415897369
1692300512641014900,19.0,35.0,21.56,513.5256595611572
1692300512641041900,17.0,35.0,21.56,513.5363025665283
1692300512641048800,16.0,35.0,19.6,513.5468189716339
1692300512641054300,16.0,35.0,19.6,513.557416677475
1692300512641058800,15.0,35.0,19.6,513.5680606365204
1692300512691204500,15.0,36.0,19.6,513.5786473751068
1692300512691237200,15.0,36.0,19.6,513.5892753601074
1692300512691245300,15.0,37.0,19.6,513.5998210906982
1692300512691287500,14.0,37.0,21.56,513.6104102134705
1692300512740160200,14.0,38.0,21.56,513.6210396289825
1692300512740184200,15.0,39.0,19.6,513.6315591335297
1692300512740226300,14.0,38.0,21.56,513.6421284675598
1692300512740233100,14.0,38.0,21.56,513.6527452468872
1692300512740280700,14.0,38.0,21.56,513.6633207798004
1692300512789025900,14.0,38.0,21.56,513.6737933158875
1692300512789056100,15.0,39.0,23.52,513.6842868328094
1692300512789060400,14.0,39.0,21.56,513.6948103904724
1692300512789064000,14.0,39.0,19.6,513.7052857875824
1692300512789202200,14.0,39.0,21.56,513.7158534526825
1692300512838024700,16.0,40.0,21.56,513.7265090942383
1692300512838057400,15.0,40.0,19.6,513.7370300292969
1692300512838063700,15.0,41.0,19.6,513.74817943573
1692300512838090500,16.0,41.0,19.6,513.7602536678314
1692300512890246000,16.0,42.0,19.6,513.7707984447479
1692300512890286900,15.0,42.0,17.64,513.7814853191376
1692300512890333900,17.0,44.0,17.64,513.7920436859131
1692300512890338300,15.0,44.0,15.68,513.8025758266449
1692300512890340600,15.0,45.0,11.76,513.813060760498
1692300512939638900,14.0,45.0,11.76,513.8235650062561
1692300512939672100,14.0,46.0,9.8,513.8340749740601
1692300512939676500,15.0,48.0,7.84,513.844568490982
1692300512939810300,15.0,49.0,5.88,513.8564040660858
1692300512987943600,15.0,50.0,5.88,513.8669130802155
1692300512987969100,15.0,50.0,3.92,513.8781590461731
1692300512987973100,14.0,50.0,5.88,513.88880610466
1692300512987976500,15.0,51.0,1.96,513.8993048667908
1692300512987979700,15.0,52.0,1.96,513.9098982810974
1692300513038860000,16.0,53.0,1.96,513.9205424785614
1692300513038892000,15.0,53.0,3.92,513.9310612678528
1692300513039012400,14.0,52.0,1.96,513.9415848255157
1692300513039186400,14.0,54.0,3.92,513.9522438049316
1692300513039211900,15.0,54.0,1.96,513.9628050327301
1692300513089861300,15.0,54.0,3.92,513.97336602211
1692300513089891800,15.0,54.0,3.92,513.9839115142822
1692300513089894500,16.0,54.0,5.88,513.9945440292358
1692300513089896500,16.0,54.0,5.88,514.0050430297852
1692300513089898700,15.0,54.0,5.88,514.0156078338623
1692300513139008700,15.0,55.0,3.92,514.0262985229492
1692300513139040600,15.0,56.0,1.96,514.0367987155914
1692300513139228400,14.0,56.0,1.96,514.0473017692566
1692300513139369400,14.0,57.0,0.0,514.0578279495239
1692300513195032700,15.0,58.0,0.0,514.0685565471649
1692300513195064600,14.0,58.0,0.0,514.0794818401337
1692300513195069100,15.0,59.0,1.96,514.0901184082031
1692300513195072600,15.0,58.0,0.0,514.10133934021
1692300513195076000,13.0,58.0,0.0,514.111894607544
1692300513195079100,13.0,59.0,-1.96,514.1225702762604
1692300513244499700,13.0,59.0,-1.96,514.1330869197845
1692300513244507700,13.0,60.0,-3.92,514.1436388492584
1692300513244723800,13.0,61.0,-1.96,514.154230594635
1692300513244772800,14.0,61.0,-1.96,514.1647772789001
1692300513296513200,14.0,62.0,-1.96,514.1752977371216
1692300513296541200,15.0,61.0,-1.96,514.1869723796844
1692300513296548700,13.0,61.0,-1.96,514.197585105896
1692300513296572600,12.0,61.0,-3.92,514.2081542015076
1692300513296670700,12.0,61.0,-3.92,514.2187929153442
1692300513347377100,12.0,61.0,-3.92,514.2293379306793
1692300513347399000,13.0,61.0,-5.88,514.2398858070374
1692300513347401300,13.0,62.0,-3.92,514.2505934238434
1692300513347403600,13.0,62.0,-3.92,514.2612438201904
1692300513347405700,12.0,61.0,-5.88,514.2717962265015
1692300513397742100,12.0,62.0,-5.88,514.2823040485382
1692300513397907300,13.0,62.0,-7.84,514.2929031848907
1692300513398056400,12.0,62.0,-5.88,514.3034601211548
1692300513398225900,12.0,62.0,-5.88,514.3139910697937
1692300513398384600,12.0,62.0,-5.88,514.3245570659637
1692300513457839700,12.0,62.0,-5.88,514.3352546691895
1692300513457873900,12.0,62.0,-5.88,514.3456673622131
1692300513457878500,12.0,62.0,-7.84,514.3562989234924
1692300513457882300,13.0,62.0,-7.84,514.3667893409729
1692300513533630800,12.0,63.0,-7.84,514.3773062229156
1692300513533660300,13.0,62.0,-9.8,514.3879251480103
1692300513533664200,13.0,63.0,-9.8,514.3985595703125
1692300513533667600,13.0,63.0,-9.8,514.4091336727142
1692300513533893700,13.0,64.0,-5.88,514.4198045730591
1692300513534062100,14.0,64.0,-5.88,514.4309923648834
1692300513615297800,14.0,64.0,-9.8,514.4415616989136
1692300513615316300,14.0,64.0,-9.8,514.4520587921143
1692300513615319000,14.0,65.0,-7.84,514.4626305103302
1692300513615557400,15.0,65.0,-5.88,514.4732758998871
1692300513615579200,15.0,66.0,-7.84,514.4837973117828
1692300513615583100,15.0,66.0,-5.88,514.4942824840546
1692300513615586300,14.0,66.0,-9.8,514.5047988891602
1692300513615682800,14.0,66.0,-9.8,514.5153169631958
1692300513679139200,14.0,66.0,-11.76,514.5258529186249
1692300513679171600,12.0,66.0,-11.76,514.5364122390747
1692300513679179800,13.0,66.0,-11.76,514.5470395088196
1692300513679183600,13.0,67.0,-9.8,514.5575652122498
1692300513679190900,12.0,66.0,-9.8,514.5681324005127
1692300513679194700,11.0,67.0,-11.76,514.5787875652313
1692300513679199100,11.0,67.0,-13.719999999999999,514.5892817974091
1692300513731790800,11.0,68.0,-13.719999999999999,514.5998134613037
1692300513731969300,11.0,69.0,-11.76,514.6103131771088
1692300513732145000,11.0,69.0,-11.76,514.6208031177521
1692300513732296800,10.0,69.0,-11.76,514.6313228607178
1692300513732439300,9.0,69.0,-11.76,514.6419303417206
1692300513732643800,8.0,69.0,-15.68,514.6525366306305
1692300513777790600,8.0,69.0,-13.719999999999999,514.6630353927612
1692300513777986900,9.0,71.0,-13.719999999999999,514.6741027832031
1692300513778012500,9.0,70.0,-11.76,514.6854050159454
1692300513778176700,9.0,70.0,-11.76,514.6960711479187
1692300513778399500,8.0,70.0,-11.76,514.7066304683685
1692300513825113700,7.0,70.0,-13.719999999999999,514.7172186374664
1692300513825139400,7.0,70.0,-13.719999999999999,514.7277829647064
1692300513825143500,7.0,70.0,-15.68,514.7383296489716
1692300513825146900,8.0,72.0,-15.68,514.748820066452
1692300513873120900,8.0,71.0,-15.68,514.7594921588898
1692300513873151800,9.0,70.0,-13.719999999999999,514.7700490951538
1692300513873290900,8.0,70.0,-15.68,514.7805666923523
1692300513873631500,9.0,71.0,-17.64,514.7911305427551
1692300513873656200,9.0,71.0,-15.68,514.8017711639404
1692300513921220500,10.0,70.0,-13.719999999999999,514.8124127388
1692300513921476400,9.0,70.0,-15.68,514.8230924606323
1692300513921501000,10.0,71.0,-17.64,514.8335380554199
1692300513921677900,11.0,71.0,-13.719999999999999,514.8440358638763
1692300513970688000,9.0,70.0,-13.719999999999999,514.8545813560486
1692300513970716900,9.0,70.0,-15.68,514.865068435669
1692300513970721000,11.0,72.0,-13.719999999999999,514.8755555152893
1692300513970751200,11.0,70.0,-13.719999999999999,514.8861427307129
1692300514020507100,10.0,70.0,-13.719999999999999,514.8968021869659
1692300514020535900,10.0,70.0,-13.719999999999999,514.9082410335541
1692300514020540200,10.0,70.0,-11.76,514.919159412384
1692300514020543600,10.0,70.0,-13.719999999999999,514.9303073883057
1692300514020785000,11.0,70.0,-15.68,514.9409716129303
1692300514070511000,12.0,71.0,-13.719999999999999,514.9515504837036
1692300514070540000,12.0,71.0,-15.68,514.9621305465698
1692300514070545400,11.0,70.0,-13.719999999999999,514.9727931022644
1692300514070548900,10.0,70.0,-13.719999999999999,514.9833142757416
1692300514070554400,11.0,70.0,-17.64,514.9938850402832
1692300514118476900,11.0,70.0,-15.68,515.0045914649963
1692300514118649600,11.0,70.0,-13.719999999999999,515.0158517360687
1692300514118785300,11.0,70.0,-13.719999999999999,515.0275712013245
1692300514118945200,9.0,69.0,-13.719999999999999,515.0383107662201
1692300514176956400,8.0,69.0,-15.68,515.0491750240326
1692300514176965700,9.0,69.0,-17.64,515.0597965717316
1692300514176970200,10.0,70.0,-15.68,515.07040143013
1692300514176974100,10.0,70.0,-13.719999999999999,515.0810232162476
1692300514176984200,8.0,68.0,-15.68,515.0915653705597
1692300514177210600,9.0,69.0,-17.64,515.1020584106445
1692300514225026400,10.0,70.0,-15.68,515.1127350330353
1692300514225062600,10.0,70.0,-13.719999999999999,515.1250195503235
1692300514225070400,9.0,68.0,-15.68,515.1355481147766
1692300514225087800,9.0,69.0,-17.64,515.1462450027466
1692300514281921600,10.0,69.0,-17.64,515.1567854881287
1692300514281979500,9.0,68.0,-17.64,515.1673016548157
1692300514281985700,10.0,68.0,-15.68,515.1778802871704
1692300514282290300,9.0,68.0,-17.64,515.1885571479797
1692300514282461400,11.0,69.0,-15.68,515.1991548538208
1692300514334664700,11.0,68.0,-13.719999999999999,515.2100377082825
1692300514334687600,11.0,68.0,-15.68,515.2217719554901
1692300514334692900,8.0,67.0,-15.68,515.2323131561279
1692300514334695900,10.0,69.0,-17.64,515.242826461792
1692300514334699600,10.0,68.0,-15.68,515.253359079361
1692300514388318300,9.0,67.0,-15.68,515.2639617919922
1692300514388341100,9.0,68.0,-19.6,515.2751302719116
1692300514388344800,11.0,69.0,-15.68,515.2856502532959
1692300514388356100,9.0,68.0,-15.68,515.2963304519653
1692300514388580600,9.0,68.0,-17.64,515.3067982196808
1692300514438081600,11.0,69.0,-17.64,515.3173632621765
1692300514438101100,11.0,68.0,-13.719999999999999,515.3279218673706
1692300514438103400,9.0,67.0,-15.68,515.338550567627
1692300514438127900,9.0,68.0,-17.64,515.3490664958954
1692300514438135100,10.0,68.0,-19.6,515.3595740795135
1692300514486281400,10.0,69.0,-17.64,515.370171546936
1692300514486305600,9.0,67.0,-17.64,515.3808379173279
1692300514486309900,11.0,68.0,-19.6,515.3913886547089
1692300514486313500,12.0,69.0,-15.68,515.402049779892
1692300514486317400,13.0,68.0,-15.68,515.4125747680664
1692300514539710500,12.0,68.0,-15.68,515.4230606555939
1692300514539763500,10.0,67.0,-17.64,515.4335536956787
1692300514539988100,12.0,68.0,-17.64,515.444041967392
1692300514540177000,13.0,69.0,-15.68,515.4548177719116
1692300514590587000,12.0,67.0,-15.68,515.4663076400757
1692300514590605900,11.0,67.0,-15.68,515.4777219295502
1692300514590608200,12.0,68.0,-17.64,515.4882810115814
1692300514590610000,13.0,68.0,-15.68,515.4989104270935
1692300514590611800,12.0,68.0,-13.719999999999999,515.5095567703247
1692300514639266600,12.0,68.0,-17.64,515.5200972557068
1692300514639291500,12.0,68.0,-17.64,515.5306689739227
1692300514639295200,13.0,68.0,-13.719999999999999,515.5413205623627
1692300514639298200,11.0,68.0,-15.68,515.5520126819611
1692300514639301500,12.0,69.0,-15.68,515.5635380744934
1692300514690913400,13.0,69.0,-13.719999999999999,515.5740478038788
1692300514690931600,11.0,68.0,-13.719999999999999,515.5845386981964
1692300514691096400,10.0,68.0,-15.68,515.5950384140015
1692300514691150100,11.0,69.0,-15.68,515.6055192947388
1692300514691260200,12.0,69.0,-13.719999999999999,515.6162841320038
1692300514737301900,9.0,68.0,-13.719999999999999,515.6267881393433
1692300514737307200,9.0,68.0,-15.68,515.6373257637024
1692300514737605100,11.0,68.0,-13.719999999999999,515.6478259563446
1692300514737660200,9.0,68.0,-15.68,515.6584141254425
1692300514785276100,10.0,69.0,-15.68,515.6690447330475
1692300514785305300,10.0,68.0,-13.719999999999999,515.6797330379486
1692300514785309700,9.0,69.0,-15.68,515.6903007030487
1692300514785313400,11.0,70.0,-13.719999999999999,515.7008152008057
1692300514785487900,12.0,69.0,-13.719999999999999,515.7113900184631
1692300514832357200,9.0,68.0,-15.68,515.722048997879
1692300514832386300,11.0,69.0,-17.64,515.7326238155365
1692300514832611900,12.0,69.0,-13.719999999999999,515.7432050704956
1692300514832642300,10.0,68.0,-15.68,515.7537567615509
1692300514883494300,11.0,69.0,-15.68,515.7642886638641
1692300514883525100,11.0,68.0,-13.719999999999999,515.7747895717621
1692300514883527400,11.0,69.0,-13.719999999999999,515.7852902412415
1692300514883529500,10.0,68.0,-15.68,515.7965083122253
1692300514883536600,11.0,70.0,-15.68,515.8075289726257
1692300514932555600,11.0,69.0,-15.68,515.8180551528931
1692300514932581500,10.0,69.0,-17.64,515.8286375999451
1692300514932583900,11.0,70.0,-15.68,515.8392889499664
1692300514932585900,10.0,68.0,-13.719999999999999,515.8498065471649
1692300514932587800,11.0,69.0,-17.64,515.8603136539459
1692300514981457900,11.0,69.0,-15.68,515.8709049224854
1692300514981478200,9.0,68.0,-15.68,515.8815546035767
1692300514981480500,10.0,69.0,-19.6,515.8920483589172
1692300514981482600,11.0,69.0,-15.68,515.9038076400757
1692300515035955300,9.0,68.0,-17.64,515.914323091507
1692300515035982300,11.0,70.0,-15.68,515.9248692989349
1692300515035987800,10.0,69.0,-17.64,515.9353868961334
1692300515035992800,10.0,68.0,-17.64,515.9460411071777
1692300515035997000,11.0,70.0,-17.64,515.9565613269806
1692300515082575800,12.0,69.0,-15.68,515.9670658111572
1692300515082603300,10.0,69.0,-17.64,515.977560043335
1692300515082607500,10.0,68.0,-17.64,515.9881691932678
1692300515082610800,12.0,69.0,-15.68,515.9987940788269
1692300515082614000,11.0,68.0,-9.8,516.010050535202
1692300515137632300,12.0,68.0,-3.92,516.0206387042999
1692300515137654200,10.0,68.0,-5.88,516.0313034057617
1692300515137657300,11.0,69.0,-5.88,516.041909456253
1692300515137664300,12.0,69.0,-3.92,516.0525252819061
1692300515187101500,11.0,69.0,-5.88,516.0637514591217
1692300515187126500,12.0,69.0,-3.92,516.0742738246918
1692300515187130400,10.0,68.0,-5.88,516.084787607193
1692300515187133700,11.0,68.0,-1.96,516.0953357219696
1692300515187136900,10.0,68.0,-3.92,516.1058564186096
1692300515237557500,10.0,68.0,-5.88,516.1164920330048
1692300515237610200,11.0,69.0,-1.96,516.1269955635071
1692300515237895000,10.0,67.0,-1.96,516.1377818584442
1692300515237924200,11.0,68.0,-3.92,516.1490678787231
1692300515238065000,11.0,67.0,0.0,516.1601650714874
1692300515285675400,10.0,66.0,-1.96,516.1708006858826
1692300515285707900,11.0,67.0,0.0,516.1813521385193
1692300515285991400,11.0,66.0,-1.96,516.1919085979462
1692300515286019600,10.0,65.0,3.92,516.2025434970856
1692300515286232600,10.0,65.0,1.96,516.213128566742
1692300515334339600,11.0,66.0,3.92,516.2237043380737
1692300515334363600,11.0,65.0,5.88,516.2344663143158
1692300515334368400,12.0,65.0,7.84,516.2465531826019
1692300515334537600,10.0,65.0,5.88,516.257075548172
1692300515387421600,10.0,64.0,5.88,516.2675657272339
1692300515387440000,12.0,64.0,9.8,516.2782196998596
1692300515387442300,10.0,63.0,7.84,516.2887823581696
1692300515387449600,12.0,63.0,7.84,516.2993216514587
1692300515387744800,11.0,62.0,13.719999999999999,516.3106207847595
1692300515448621200,12.0,62.0,11.76,516.3212835788727
1692300515448652700,12.0,61.0,13.719999999999999,516.3319892883301
1692300515448659000,12.0,62.0,11.76,516.3432970046997
1692300515448692700,14.0,63.0,15.68,516.3537867069244
1692300515448783500,14.0,62.0,15.68,516.364287853241
1692300515449005000,14.0,62.0,13.719999999999999,516.3748111724854
1692300515503169200,15.0,63.0,15.68,516.3852994441986
1692300515503293400,16.0,62.0,15.68,516.3958857059479
1692300515503297700,14.0,62.0,13.719999999999999,516.4065358638763
1692300515503301900,16.0,63.0,15.68,516.4170334339142
1692300515557685600,15.0,61.0,15.68,516.4275574684143
1692300515557687900,16.0,62.0,13.719999999999999,516.4380691051483
1692300515557690600,16.0,62.0,13.719999999999999,516.4486463069916
1692300515557700300,15.0,61.0,15.68,516.4592726230621
1692300515557703400,15.0,62.0,11.76,516.4699161052704
1692300515557796000,16.0,63.0,15.68,516.4805245399475
1692300515607594200,15.0,61.0,15.68,516.4910933971405
1692300515607946600,14.0,61.0,15.68,516.5018019676208
