%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.theta_cmd,field.alpha_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1692300512391506100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,55.599998474121094,0.0,513.285888671875,1.0
1692300512391533400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,55.599998474121094,0.0,513.2960205078125,1.0
1692300512391664600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,55.599998474121094,0.0,513.3058471679688,1.0
1692300512391726400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,55.599998474121094,0.0,513.3159790039062,1.0
1692300512438732100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,55.599998474121094,0.0,513.3258666992188,1.0
1692300512438758100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,55.599998474121094,0.0,513.3358764648438,1.0
1692300512438762400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.3458862304688,1.0
1692300512438767600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.3558959960938,1.0
1692300512438772600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.365966796875,1.0
1692300512485183100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.3760986328125,1.0
1692300512485208100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.3858642578125,1.0
1692300512485212200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.39599609375,1.0
1692300512485226900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.4058837890625,1.0
1692300512485243300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.4158935546875,1.0
1692300512533661100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.4259643554688,1.0
1692300512533691000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,58.79999923706055,0.0,513.43603515625,1.0
1692300512533695800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.44580078125,1.0
1692300512533747600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.4561157226562,1.0
1692300512580794000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.4659423828125,1.0
1692300512580820800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.4758911132812,1.0
1692300512580825100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.4955444335938,1.0
1692300512581041900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.4960327148438,1.0
1692300512581210400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.5062866210938,1.0
1692300512635170900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.5160522460938,1.0
1692300512635197700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.5260009765625,1.0
1692300512635201900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20.0,52.900001525878906,0.0,513.5360107421875,1.0
1692300512635205800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.5460815429688,1.0
1692300512635254300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.555908203125,1.0
1692300512682327400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.5658569335938,1.0
1692300512682357300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.5759887695312,1.0
1692300512682506000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.5857543945312,1.0
1692300512682656800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.5960083007812,1.0
1692300512682815700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.6060791015625,1.0
1692300512728438600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.615966796875,1.0
1692300512728469200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.6258544921875,1.0
1692300512728665600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.635986328125,1.0
1692300512728829700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,40.0,66.69999694824219,71.4000015258789,0.0,513.6459350585938,1.0
1692300512728994700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,14.300000190734863,0.0,58.79999923706055,9.100000381469727,513.6559448242188,1.0
1692300512780144800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,14.300000190734863,0.0,58.79999923706055,9.100000381469727,513.6658935546875,1.0
1692300512780170300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,14.300000190734863,0.0,58.79999923706055,9.100000381469727,513.6758422851562,1.0
1692300512780183300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,14.300000190734863,0.0,58.79999923706055,9.100000381469727,513.6859130859375,1.0
1692300512780228100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,14.300000190734863,0.0,58.79999923706055,9.100000381469727,513.6958618164062,1.0
1692300512780244600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,14.300000190734863,0.0,58.79999923706055,9.100000381469727,513.7060546875,1.0
1692300512830677600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,14.300000190734863,0.0,58.79999923706055,9.100000381469727,513.7158813476562,1.0
1692300512830716900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,14.300000190734863,0.0,58.79999923706055,9.100000381469727,513.7258911132812,1.0
1692300512830723500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,14.300000190734863,0.0,58.79999923706055,9.100000381469727,513.7359619140625,1.0
