%time,field.mx,field.my,field.fz,field.t
1692299338288211200,-8.0,104.0,-115.64,99339.18176150322
1692299338288471700,-6.0,104.0,-111.72,99339.19220328331
1692299338288510800,-8.0,103.0,-113.67999999999999,99339.20273780823
1692299338288847500,-5.0,104.0,-111.72,99339.21322083473
1692299338342019100,-7.0,103.0,-113.67999999999999,99339.22369027138
1692299338342043100,-6.0,103.0,-111.72,99339.23419117928
1692299338342216500,-6.0,104.0,-111.72,99339.24462270737
1692299338342405800,-7.0,103.0,-113.67999999999999,99339.25520682335
1692299338342434900,-5.0,103.0,-109.75999999999999,99339.26562690735
1692299338391454000,-7.0,103.0,-113.67999999999999,99339.27623701096
1692299338391717800,-6.0,102.0,-111.72,99339.28674173355
1692299338391746300,-5.0,103.0,-111.72,99339.29724955559
1692299338391918200,-6.0,103.0,-113.67999999999999,99339.30771875381
1692299338392229800,-7.0,102.0,-109.75999999999999,99339.31825613976
1692299338451642400,-6.0,103.0,-113.67999999999999,99339.32870531082
1692299338452027100,-7.0,102.0,-111.72,99339.33912849426
1692299338452053400,-8.0,101.0,-111.72,99339.3495233059
1692299338452057600,-6.0,103.0,-111.72,99339.3599486351
1692299338452223600,-8.0,101.0,-111.72,99339.37034654617
1692299338507212600,-7.0,101.0,-109.75999999999999,99339.38074660301
1692299338507291400,-5.0,102.0,-109.75999999999999,99339.3911356926
1692299338507371400,-5.0,102.0,-113.67999999999999,99339.40153336525
1692299338507397800,-8.0,100.0,-111.72,99339.41188716888
1692299338507693400,-8.0,100.0,-113.67999999999999,99339.42228531837
1692299338507758100,-7.0,101.0,-111.72,99339.43298339844
1692299338559153600,-8.0,100.0,-113.67999999999999,99339.44346880913
1692299338559331800,-9.0,99.0,-111.72,99339.45395326614
1692299338559532600,-7.0,101.0,-111.72,99339.46447610855
1692299338559725800,-10.0,98.0,-111.72,99339.47495532036
1692299338559910500,-7.0,99.0,-111.72,99339.4855632782
1692299338610293100,-9.0,98.0,-115.64,99339.49611973763
1692299338610447200,-8.0,98.0,-111.72,99339.5065381527
1692299338610993500,-10.0,98.0,-115.64,99339.5169878006
1692299338611044500,-8.0,98.0,-113.67999999999999,99339.52748680115
1692299338611054500,-9.0,98.0,-115.64,99339.53800654411
1692299338656977900,-10.0,97.0,-113.67999999999999,99339.5485253334
1692299338657265100,-8.0,98.0,-111.72,99339.55897164345
1692299338657461200,-10.0,96.0,-115.64,99339.56949591637
1692299338657671500,-9.0,96.0,-113.67999999999999,99339.5798959732
1692299338706724000,-8.0,98.0,-113.67999999999999,99339.59029889107
1692299338706953100,-10.0,96.0,-113.67999999999999,99339.60073709488
1692299338707254800,-8.0,97.0,-113.67999999999999,99339.61113071442
1692299338707281000,-10.0,95.0,-113.67999999999999,99339.6215839386
1692299338707465700,-8.0,95.0,-113.67999999999999,99339.63200521469
