%time,field.mx,field.my,field.fz,field.t
1680668293219457900,-221.0,-1000.0,344.96,39990.88451099396
1680668293219478000,-221.0,-997.0,343.0,39990.884764909744
1680668293219483200,-223.0,-998.0,344.96,39990.88488602638
1680668293219517700,-224.0,-998.0,348.88,39990.88499593735
1680668293219524000,-219.0,-992.0,348.88,39990.885102033615
1680668293219583100,-219.0,-993.0,350.84,39990.8852057457
1680668293219591100,-219.0,-992.0,348.88,39990.885310173035
1680668293219595600,-220.0,-991.0,341.04,39990.88545513153
1680668293219599900,-221.0,-991.0,341.04,39990.885561704636
1680668293219622400,-224.0,-992.0,344.96,39990.88566613197
1680668293295586500,-220.0,-989.0,339.08,39990.98596215248
1680668293350935900,-222.0,-989.0,341.04,39990.98622608185
1680668293350948900,-223.0,-989.0,343.0,39990.98634982109
1680668293350992400,-221.0,-987.0,339.08,39990.98648762703
1680668293351030100,-221.0,-987.0,339.08,39990.98659658432
1680668293351041500,-223.0,-988.0,343.0,39990.98670172691
1680668293351046000,-223.0,-988.0,348.88,39990.986805438995
1680668293351080300,-220.0,-985.0,339.08,39990.98690652847
1680668293351087300,-219.0,-985.0,339.08,39990.98700928688
1680668293351091500,-220.0,-985.0,337.12,39990.987325668335
1680668293399369900,-221.0,-985.0,337.12,39991.08766889572
1680668293399381000,-223.0,-987.0,341.04,39991.087921619415
1680668293399458400,-219.0,-984.0,339.08,39991.08804297447
1680668293399465900,-224.0,-987.0,331.24,39991.088153362274
1680668293399477500,-223.0,-987.0,331.24,39991.08825993538
1680668293399484800,-222.0,-987.0,335.15999999999997,39991.08836531639
1680668293399564700,-218.0,-983.0,329.28,39991.08846974373
1680668293399571100,-220.0,-985.0,325.36,39991.08857512474
1680668293399618500,-220.0,-984.0,325.36,39991.08867764473
1680668293399623100,-221.0,-983.0,325.36,39991.08877944946
1680668293498898000,-222.0,-984.0,327.32,39991.189067840576
1680668293557689300,-224.0,-984.0,331.24,39991.18936729431
1680668293557712800,-222.0,-984.0,333.2,39991.18949341774
1680668293557720800,-222.0,-983.0,333.2,39991.18960213661
1680668293557733400,-218.0,-981.0,333.2,39991.18970632553
1680668293557793500,-218.0,-978.0,329.28,39991.18986964226
1680668293557800100,-218.0,-978.0,329.28,39991.1899766922
1680668293557868300,-218.0,-979.0,325.36,39991.19007897377
1680668293557876400,-219.0,-979.0,321.44,39991.19018006325
1680668293557902500,-219.0,-979.0,321.44,39991.19028186798
1680668293612983500,-219.0,-979.0,321.44,39991.29056572914
1680668293613003000,-218.0,-979.0,325.36,39991.29086017609
1680668293613018300,-219.0,-979.0,321.44,39991.29098558426
1680668293613048400,-218.0,-980.0,321.44,39991.29109168053
1680668293613073800,-219.0,-980.0,319.48,39991.29120016098
1680668293613121700,-219.0,-981.0,319.48,39991.2913043499
1680668293613130700,-221.0,-981.0,321.44,39991.291407346725
1680668293613189700,-218.0,-979.0,323.4,39991.29150938988
1680668293613196300,-218.0,-980.0,327.32,39991.29161143303
1680668293613244400,-218.0,-979.0,325.36,39991.291712999344
1680668293700616000,-218.0,-981.0,319.48,39991.391998291016
1680668293760872400,-218.0,-982.0,319.48,39991.39225053787
1680668293760887200,-219.0,-982.0,321.44,39991.39237308502
1680668293760891700,-219.0,-983.0,321.44,39991.3924806118
1680668293760908600,-219.0,-983.0,323.4,39991.392585515976
1680668293760938800,-219.0,-984.0,323.4,39991.39268898964
1680668293760951100,-222.0,-987.0,327.32,39991.39279150963
1680668293818026600,-218.0,-986.0,325.36,39991.493340969086
1680668293818048300,-217.0,-988.0,323.4,39991.49346113205
1680668293818073800,-218.0,-989.0,323.4,39991.49357151985
1680668293818082000,-221.0,-993.0,331.24,39991.493678331375
1680668293818166100,-221.0,-993.0,329.28,39991.49379968643
1680668293818173500,-220.0,-994.0,329.28,39991.493901729584
1680668293818242900,-220.0,-995.0,327.32,39991.49400424957
1680668293818253700,-219.0,-996.0,327.32,39991.494106292725
1680668293818313100,-222.0,-998.0,331.24,39991.494208574295
1680668293818320900,-222.0,-999.0,333.2,39991.494309425354
1680668293902567000,-222.0,-1000.0,335.15999999999997,39991.59454250336
1680668293953501000,-223.0,-1001.0,335.15999999999997,39991.59481191635
1680668293953512300,-223.0,-1002.0,335.15999999999997,39991.59493517876
1680668293953516600,-223.0,-1002.0,333.2,39991.59504532814
1680668293953572000,-221.0,-1002.0,331.24,39991.59515094757
1680668293953609900,-221.0,-1002.0,331.24,39991.59542155266
1680668293953684700,-221.0,-1003.0,331.24,39991.59564471245
1680668293953693400,-221.0,-1003.0,331.24,39991.5958404541
1680668293953697700,-221.0,-1004.0,331.24,39991.59605193138
1680668293953701300,-221.0,-1004.0,333.2,39991.59616160393
1680668294013545000,-221.0,-1004.0,331.24,39991.696462631226
1680668294013565900,-218.0,-1003.0,331.24,39991.69678878784
1680668294013586100,-219.0,-1003.0,331.24,39991.69692468643
1680668294013612000,-221.0,-1004.0,329.28,39991.69708800316
1680668294013632900,-220.0,-1004.0,327.32,39991.69722414017
1680668294013663500,-220.0,-1003.0,327.32,39991.69733738899
1680668294013698700,-219.0,-1003.0,329.28,39991.6974465847
1680668294013704700,-218.0,-1002.0,325.36,39991.69755077362
1680668294013753200,-216.0,-1001.0,321.44,39991.6976544857
1680668294013761400,-215.0,-1000.0,321.44,39991.69776105881
1680668294106866900,-215.0,-999.0,319.48,39991.79805231094
1680668294155576500,-216.0,-999.0,321.44,39991.798335552216
1680668294155597800,-214.0,-997.0,321.44,39991.79845571518
1680668294155641300,-214.0,-996.0,323.4,39991.79856657982
1680668294155675600,-214.0,-995.0,325.36,39991.79867362976
1680668294155683900,-214.0,-995.0,329.28,39991.79877829552
1680668294155708300,-214.0,-993.0,327.32,39991.7988820076
1680668294155743300,-214.0,-995.0,333.2,39991.79898643494
1680668294155766700,-214.0,-993.0,331.24,39991.79908823967
1680668294155812000,-215.0,-993.0,333.2,39991.79918837547
1680668294209868600,-218.0,-995.0,337.12,39991.89997792244
1680668294209880400,-216.0,-994.0,329.28,39991.900084257126
1680668294209889800,-220.0,-997.0,337.12,39991.90018987656
1680668294209944500,-220.0,-998.0,337.12,39991.90029549599
1680668294209964200,-218.0,-997.0,333.2,39991.900399923325
1680668294210002500,-218.0,-998.0,335.15999999999997,39991.90050244331
1680668294210008500,-218.0,-999.0,335.15999999999997,39991.90060424805
1680668294210052200,-219.0,-1001.0,339.08,39991.90090727806
1680668294210057500,-219.0,-1001.0,339.08,39991.90103363991
1680668294210115000,-218.0,-1002.0,348.88,39991.90114045143
1680668294311356000,-220.0,-1003.0,343.0,39992.001799583435
1680668294361383200,-221.0,-1005.0,350.84,39992.00190973282
1680668294361396200,-226.0,-1007.0,350.84,39992.00201702118
1680668294361463600,-227.0,-1008.0,350.84,39992.0021238327
1680668294361478800,-227.0,-1007.0,348.88,39992.002227544785
1680668294361485100,-225.0,-1008.0,354.76,39992.00232934952
1680668294361551800,-228.0,-1008.0,350.84,39992.00243330002
1680668294361558400,-225.0,-1007.0,346.92,39992.00253510475
1680668294361601400,-225.0,-1007.0,346.92,39992.002635240555
1680668294361607300,-224.0,-1007.0,352.8,39992.00308966637
1680668294425570300,-226.0,-1009.0,350.84,39992.10337781906
1680668294425589800,-224.0,-1009.0,360.64,39992.10365152359
1680668294425600000,-228.0,-1011.0,356.71999999999997,39992.1037812233
1680668294425667200,-227.0,-1010.0,354.76,39992.1038916111
1680668294425677300,-225.0,-1009.0,358.68,39992.10399770737
1680668294425682400,-225.0,-1010.0,352.8,39992.10410284996
1680668294425687400,-230.0,-1014.0,360.64,39992.10420870781
1680668294425692300,-227.0,-1013.0,354.76,39992.10431146622
1680668294425724300,-224.0,-1012.0,356.71999999999997,39992.10441327095
1680668294425759000,-224.0,-1011.0,360.64,39992.10451459885
1680668294515421800,-229.0,-1016.0,362.59999999999997,39992.20479512215
1680668294569846000,-225.0,-1014.0,356.71999999999997,39992.20505142212
1680668294569876500,-223.0,-1015.0,364.56,39992.20517659187
1680668294569884600,-228.0,-1018.0,364.56,39992.205330848694
1680668294569891900,-227.0,-1017.0,358.68,39992.205439805984
1680668294569923100,-226.0,-1017.0,358.68,39992.205699682236
1680668294569931800,-228.0,-1019.0,364.56,39992.20581245422
1680668294626457500,-225.0,-1019.0,366.52,39992.3065264225
1680668294626563500,-224.0,-1017.0,358.68,39992.306636571884
1680668294626597800,-222.0,-1016.0,364.56,39992.306741952896
1680668294626606600,-227.0,-1020.0,364.56,39992.30684733391
1680668294626612700,-223.0,-1018.0,358.68,39992.306951999664
1680668294626618300,-221.0,-1018.0,360.64,39992.307124853134
1680668294626631300,-225.0,-1021.0,360.64,39992.3072412014
1680668294626659100,-222.0,-1020.0,356.71999999999997,39992.30733561516
1680668294626676800,-223.0,-1022.0,368.48,39992.307426929474
1680668294626705600,-223.0,-1020.0,358.68,39992.30751848221
1680668294715708900,-222.0,-1020.0,360.64,39992.40778493881
1680668294766767200,-226.0,-1023.0,362.59999999999997,39992.40805077553
1680668294766774700,-222.0,-1022.0,358.68,39992.40817928314
1680668294766822000,-225.0,-1026.0,370.44,39992.408288002014
1680668294766837200,-226.0,-1025.0,366.52,39992.40839457512
1680668294816984800,-220.0,-1023.0,362.59999999999997,39992.508690834045
1680668294870075700,-223.0,-1027.0,366.52,39992.50899195671
1680668294870087700,-223.0,-1028.0,362.59999999999997,39992.50912022591
1680668294870092500,-220.0,-1026.0,358.68,39992.50922989845
1680668294870157000,-218.0,-1025.0,356.71999999999997,39992.50933718681
1680668294870164400,-220.0,-1027.0,360.64,39992.50944232941
1680668294926524400,-217.0,-1025.0,354.76,39992.6097342968
1680668294926534100,-220.0,-1028.0,364.56,39992.60999703407
1680668294926582200,-219.0,-1027.0,360.64,39992.610124111176
1680668294926621400,-217.0,-1025.0,356.71999999999997,39992.61023378372
1680668294926647300,-218.0,-1026.0,366.52,39992.61034178734
1680668294926705000,-216.0,-1023.0,356.71999999999997,39992.61044764519
1680668294926712100,-212.0,-1021.0,360.64,39992.6105530262
1680668295020262300,-212.0,-1022.0,354.76,39992.71113014221
1680668295078857400,-207.0,-1019.0,358.68,39992.71126127243
1680668295078884300,-212.0,-1021.0,358.68,39992.711372852325
1680668295078899400,-209.0,-1018.0,354.76,39992.711482048035
1680668295078932900,-211.0,-1018.0,358.68,39992.71159005165
1680668295078938300,-209.0,-1016.0,366.52,39992.71169543266
1680668295079014900,-208.0,-1012.0,356.71999999999997,39992.71179962158
1680668295079022800,-211.0,-1012.0,368.48,39992.71190428734
1680668295079072300,-212.0,-1010.0,364.56,39992.71200942993
1680668295079078900,-212.0,-1008.0,368.48,39992.71211218834
1680668295127217600,-217.0,-1010.0,370.44,39992.812445402145
1680668295127237500,-218.0,-1011.0,370.44,39992.81270480156
