%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t
1680668293117718100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,39990.7578125
1680668293117767700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,39990.765625
1680668293117775800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,39990.77734375
1680668293117780300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,39990.78515625
1680668293117788400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,39990.796875
1680668293117817100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,39990.8046875
1680668293164327800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,39990.81640625
1680668293164354100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,39990.828125
1680668293164384700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.8359375
1680668293164392200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.84765625
1680668293220899000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.85546875
1680668293220923300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.8671875
1680668293220936800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.875
1680668293220972600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.88671875
1680668293220978100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.8984375
1680668293221002100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.90625
1680668293271470600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.91796875
1680668293271486000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,10.0,18.200000762939453,0.0,39990.92578125
1680668293271494200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39990.9375
1680668293271568900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39990.9453125
1680668293271575700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39990.95703125
1680668293323567500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39990.96484375
1680668293323575300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39990.9765625
1680668293323592200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39990.98828125
1680668293323637200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39990.99609375
1680668293323685600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39991.0078125
1680668293376748800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39991.015625
1680668293376788600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,10.0,11.100000381469727,0.0,39991.02734375
1680668293376825800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.03515625
1680668293376832800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.046875
1680668293376867500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.05859375
1680668293376872900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.06640625
1680668293423511600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.078125
1680668293423518900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.0859375
1680668293423581200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.09765625
1680668293423593000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.10546875
1680668293483316400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.1171875
1680668293483325300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,10.0,25.0,11.100000381469727,0.0,39991.125
1680668293483381300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,9.100000381469727,25.0,0.0,39991.13671875
1680668293483388300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,9.100000381469727,25.0,0.0,39991.1484375
1680668293483463100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,9.100000381469727,25.0,0.0,39991.15625
1680668293483476500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,9.100000381469727,25.0,0.0,39991.16796875
1680668293543012800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,9.100000381469727,25.0,0.0,39991.17578125
1680668293543025600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,9.100000381469727,25.0,0.0,39991.1875
