index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
34227.0,91.614944,91.614944,91.614944,73.29554,73.29554,73.29554
34228.0,91.57025,91.57025,91.57025,73.17221,73.17221,73.17221
34229.0,91.52205,91.52205,91.52205,73.03312,73.03312,73.03312
34230.0,0.001,0.001,0.001,0.001,0.001,0.001
34231.0,0.001,0.001,0.001,0.001,0.001,0.001
34232.0,0.001,0.001,0.001,0.001,0.001,0.001
34233.0,0.001,0.001,0.001,0.001,0.001,0.001
34234.0,0.001,0.001,0.001,0.001,0.001,0.001
34235.0,0.001,0.001,0.001,0.001,0.001,0.001
34236.0,0.001,0.001,0.001,0.001,0.001,0.001
34237.0,0.001,0.001,0.001,0.001,0.001,0.001
34238.0,0.001,0.001,0.001,0.001,0.001,0.001
34239.0,0.001,0.001,0.001,0.001,0.001,0.001
34240.0,0.001,0.001,0.001,0.001,0.001,0.001
34241.0,0.001,0.001,0.001,0.001,0.001,0.001
34242.0,0.001,0.001,0.001,0.001,0.001,0.001
34243.0,0.001,0.001,0.001,0.001,0.001,0.001
34244.0,0.001,0.001,0.001,0.001,0.001,0.001
34245.0,0.001,0.001,0.001,0.001,0.001,0.001
34246.0,0.001,0.001,0.001,0.001,0.001,0.001
34247.0,0.001,0.001,0.001,0.001,0.001,0.001
34248.0,0.001,0.001,0.001,0.001,0.001,0.001
34249.0,0.001,0.001,0.001,0.001,0.001,0.001
34250.0,0.001,0.001,0.001,0.001,0.001,0.001
34251.0,0.001,0.001,0.001,0.001,0.001,0.001
34252.0,0.001,0.001,0.001,0.001,0.001,0.001
34253.0,0.001,0.001,0.001,0.001,0.001,0.001
34254.0,0.001,0.001,0.001,0.001,0.001,0.001
34255.0,0.001,0.001,0.001,0.001,0.001,0.001
34256.0,0.001,0.001,0.001,0.001,0.001,0.001
34257.0,0.001,0.001,0.001,0.001,0.001,0.001
34258.0,0.001,0.001,0.001,0.001,0.001,0.001
34259.0,0.001,0.001,0.001,0.001,0.001,0.001
34260.0,0.001,0.001,0.001,0.001,0.001,0.001
34261.0,0.001,0.001,0.001,0.001,0.001,0.001
34262.0,0.001,0.001,0.001,0.001,0.001,0.001
34263.0,0.001,0.001,0.001,0.001,0.001,0.001
34264.0,0.001,0.001,0.001,0.001,0.001,0.001
34265.0,0.001,0.001,0.001,0.001,0.001,0.001
34266.0,0.001,0.001,0.001,0.001,0.001,0.001
34267.0,0.001,0.001,0.001,0.001,0.001,0.001
34268.0,0.001,0.001,0.001,0.001,0.001,0.001
34269.0,0.001,0.001,0.001,0.001,0.001,0.001
34270.0,0.001,0.001,0.001,0.001,0.001,0.001
34271.0,0.001,0.001,0.001,0.001,0.001,0.001
34272.0,0.001,0.001,0.001,0.001,0.001,0.001
34273.0,0.001,0.001,0.001,0.001,0.001,0.001
34274.0,0.001,0.001,0.001,0.001,0.001,0.001
34275.0,0.001,0.001,0.001,0.001,0.001,0.001
34276.0,0.001,0.001,0.001,0.001,0.001,0.001
34277.0,0.001,0.001,0.001,0.001,0.001,0.001
34278.0,0.001,0.001,0.001,0.001,0.001,0.001
34279.0,0.001,0.001,0.001,0.001,0.001,0.001
34280.0,0.001,0.001,0.001,0.001,0.001,0.001
34281.0,0.001,0.001,0.001,0.001,0.001,0.001
34282.0,0.001,0.001,0.001,0.001,0.001,0.001
34283.0,0.001,0.001,0.001,0.001,0.001,0.001
34284.0,0.001,0.001,0.001,0.001,0.001,0.001
34285.0,0.001,0.001,0.001,0.001,0.001,0.001
34286.0,0.001,0.001,0.001,0.001,0.001,0.001
34287.0,0.001,0.001,0.001,0.001,0.001,0.001
34288.0,0.001,0.001,0.001,0.001,0.001,0.001
34289.0,0.001,0.001,0.001,0.001,0.001,0.001
34290.0,0.001,0.001,0.001,0.001,0.001,0.001
34291.0,0.001,0.001,0.001,0.001,0.001,0.001
34292.0,0.001,0.001,0.001,0.001,0.001,0.001
34293.0,0.001,0.001,0.001,0.001,0.001,0.001
34294.0,0.001,0.001,0.001,0.001,0.001,0.001
34295.0,0.001,0.001,0.001,0.001,0.001,0.001
34296.0,0.001,0.001,0.001,0.001,0.001,0.001
34297.0,0.001,0.001,0.001,0.001,0.001,0.001
34298.0,0.001,0.001,0.001,0.001,0.001,0.001
34299.0,0.001,0.001,0.001,0.001,0.001,0.001
34300.0,98.75779,98.75779,98.75779,65.13867,65.13867,65.13867
34301.0,98.81736,98.81736,98.81736,65.462616,65.462616,65.462616
34302.0,98.87281,98.87281,98.87281,65.77127,65.77127,65.77127
34303.0,98.92413,98.92413,98.92413,66.06439,66.06439,66.06439
34304.0,98.97132,98.97132,98.97132,66.34176,66.34176,66.34176
34305.0,99.01437,99.01437,99.01437,66.60318,66.60318,66.60318
34306.0,99.05328,99.05328,99.05328,66.84844,66.84844,66.84844
34307.0,99.08804,99.08804,99.08804,67.07736,67.07736,67.07736
34308.0,99.11865,99.11865,99.11865,67.289764,67.289764,67.289764
34309.0,99.1451,99.1451,99.1451,67.4855,67.4855,67.4855
34310.0,99.1674,99.1674,99.1674,67.664406,67.664406,67.664406
34311.0,99.185524,99.185524,99.185524,67.82635,67.82635,67.82635
34312.0,99.199486,99.199486,99.199486,67.97121,67.97121,67.97121
34313.0,99.20928,99.20928,99.20928,68.09886,68.09886,68.09886
34314.0,99.21491,99.21491,99.21491,68.20923,68.20923,68.20923
34315.0,99.21637,99.21637,99.21637,68.302216,68.302216,68.302216
34316.0,99.21366,99.21366,99.21366,68.37775,68.37775,68.37775
34317.0,99.20679,99.20679,99.20679,68.435776,68.435776,68.435776
34318.0,99.19574,99.19574,99.19574,68.47624,68.47624,68.47624
34319.0,99.18053,99.18053,99.18053,68.49913,68.49913,68.49913
34320.0,99.16115,99.16115,99.16115,68.50441,68.50441,68.50441
34321.0,99.1376,99.1376,99.1376,68.49209,68.49209,68.49209
34322.0,99.10991,99.10991,99.10991,68.462166,68.462166,68.462166
34323.0,99.07806,99.07806,99.07806,68.414665,68.414665,68.414665
34324.0,99.042046,99.042046,99.042046,68.34963,68.34963,68.34963
34325.0,99.00189,99.00189,99.00189,68.26711,68.26711,68.26711
