time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
12-58-05-526949,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-536331,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-547330,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-557332,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-567332,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-576339,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-587856,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-596852,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-605887,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-616888,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-626886,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-635889,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-645889,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-656887,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-665890,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-676940,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-686412,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-698373,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-707372,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-716373,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-726376,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-737374,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-746376,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-756415,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-767374,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-776387,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-786905,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-795905,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-805945,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-05-816940,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
