time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-37-02-563436,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-572465,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-583467,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-593459,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-604460,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-612465,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-622981,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-631991,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-642991,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-652988,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-662991,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-672981,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-682981,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-691990,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-702979,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-712000,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-722533,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-732531,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-742532,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-753523,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-762532,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-773522,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-782534,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-792535,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-803535,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-812540,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-823070,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-832070,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-843070,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-02-854069,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-02-863070,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-02-873073,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-02-882107,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-02-892119,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-02-902112,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-913085,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-922470,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-932470,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-02-943462,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-953459,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-963459,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-972543,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-982602,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-02-993459,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-166.6
13-37-03-003460,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-012466,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-022977,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-031979,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-042978,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-053987,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-061986,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-071988,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
