time,theta,alpha,mx,my,fz
13-44-40-979042,4,.,1.0,-4.0,-170.52
13-44-40-990041,4,.,1.0,-4.0,-170.52
13-44-40-999040,4,.,1.0,-4.0,-170.52
13-44-41-008045,4,.,1.0,-4.0,-168.56
13-44-41-018082,4,.,1.0,-4.0,-168.56
13-44-41-028556,4,.,1.0,-4.0,-168.56
13-44-41-037593,4,.,1.0,-4.0,-168.56
13-44-41-047593,4,.,1.0,-4.0,-168.56
13-44-41-057596,4,.,1.0,-4.0,-168.56
13-44-41-068592,4,.,1.0,-4.0,-170.52
13-44-41-077595,4,.,1.0,-4.0,-170.52
13-44-41-087596,4,.,1.0,-4.0,-170.52
13-44-41-098557,4,.,1.0,-4.0,-170.52
13-44-41-107602,4,.,1.0,-4.0,-170.52
13-44-41-118566,4,.,1.0,-4.0,-170.52
13-44-41-128059,4,.,1.0,-4.0,-170.52
13-44-41-139053,4,.,1.0,-4.0,-170.52
13-44-41-148054,4,.,1.0,-4.0,-170.52
13-44-41-158055,4,.,1.0,-4.0,-170.52
13-44-41-168055,4,.,1.0,-4.0,-170.52
13-44-41-179054,4,.,1.0,-4.0,-170.52
13-44-41-190053,4,.,1.0,-4.0,-170.52
13-44-41-198055,4,.,1.0,-4.0,-170.52
13-44-41-208133,4,.,0.0,-4.0,-170.52
13-44-41-218134,4,.,0.0,-4.0,-170.52
13-44-41-228156,4,.,0.0,-4.0,-170.52
13-44-41-239153,4,.,0.0,-4.0,-170.52
13-44-41-248154,4,.,0.0,-4.0,-170.52
13-44-41-259152,4,.,0.0,-4.0,-170.52
13-44-41-268152,4,.,0.0,-4.0,-170.52
13-44-41-278153,4,.,0.0,-4.0,-170.52
13-44-41-288154,4,.,1.0,-4.0,-170.52
13-44-41-299154,4,.,1.0,-4.0,-170.52
13-44-41-308157,4,.,1.0,-4.0,-170.52
13-44-41-318161,4,.,1.0,-4.0,-170.52
13-44-41-328784,4,.,1.0,-4.0,-170.52
13-44-41-338782,4,.,1.0,-4.0,-170.52
13-44-41-347782,4,.,1.0,-4.0,-170.52
13-44-41-358746,4,.,1.0,-4.0,-170.52
13-44-41-368746,4,.,1.0,-4.0,-170.52
13-44-41-377782,4,.,1.0,-4.0,-170.52
13-44-41-387783,4,.,1.0,-4.0,-170.52
13-44-41-398788,4,.,1.0,-4.0,-170.52
13-44-41-407824,4,.,1.0,-4.0,-170.52
13-44-41-418788,4,.,1.0,-4.0,-170.52
13-44-41-428412,4,.,1.0,-4.0,-170.52
13-44-41-438415,4,.,1.0,-4.0,-170.52
13-44-41-449414,4,.,1.0,-4.0,-170.52
13-44-41-459417,4,.,1.0,-4.0,-170.52
13-44-41-469415,4,.,1.0,-4.0,-170.52
13-44-41-479414,4,.,1.0,-4.0,-170.52
13-44-41-488417,4,.,1.0,-4.0,-170.52
