time,theta,alpha,mx,my,fz
13-49-35-084620,0,,,2.0,-4.0,-160.72
13-49-35-094701,0,,,2.0,-4.0,-160.72
13-49-35-104699,0,,,1.0,-4.0,-160.72
13-49-35-114189,0,,,1.0,-4.0,-160.72
13-49-35-123221,0,,,1.0,-4.0,-160.72
13-49-35-133223,0,,,1.0,-4.0,-160.72
13-49-35-143224,0,,,1.0,-4.0,-160.72
13-49-35-154223,0,,,1.0,-4.0,-160.72
13-49-35-164189,0,,,2.0,-4.0,-160.72
13-49-35-174190,0,,,2.0,-4.0,-160.72
13-49-35-184185,0,,,2.0,-4.0,-160.72
13-49-35-193191,0,,,2.0,-4.0,-160.72
13-49-35-204191,0,,,2.0,-4.0,-160.72
13-49-35-214157,0,,,2.0,-4.0,-160.72
13-49-35-224155,0,,,2.0,-4.0,-160.72
13-49-35-234155,0,,,1.0,-4.0,-160.72
13-49-35-243156,0,,,1.0,-4.0,-160.72
13-49-35-253159,0,,,1.0,-4.0,-160.72
13-49-35-264156,0,,,1.0,-4.0,-160.72
13-49-35-273192,0,,,1.0,-4.0,-160.72
13-49-35-284159,0,,,1.0,-4.0,-160.72
13-49-35-293233,0,,,1.0,-4.0,-160.72
13-49-35-303234,0,,,1.0,-4.0,-160.72
13-49-35-313823,0,,,1.0,-4.0,-160.72
13-49-35-324817,0,,,1.0,-4.0,-160.72
13-49-35-333819,0,,,1.0,-4.0,-160.72
13-49-35-344780,0,,,1.0,-4.0,-160.72
13-49-35-353783,0,,,1.0,-4.0,-160.72
13-49-35-363817,0,,,1.0,-4.0,-160.72
13-49-35-373817,0,,,1.0,-4.0,-160.72
13-49-35-384816,0,,,1.0,-4.0,-160.72
13-49-35-393859,0,,,1.0,-4.0,-160.72
13-49-35-403864,0,,,1.0,-4.0,-160.72
13-49-35-414381,0,,,1.0,-4.0,-160.72
13-49-35-424382,0,,,1.0,-3.0,-160.72
13-49-35-433382,0,,,1.0,-3.0,-160.72
13-49-35-444383,0,,,1.0,-3.0,-160.72
13-49-35-454384,0,,,1.0,-3.0,-160.72
13-49-35-464344,0,,,1.0,-3.0,-160.72
13-49-35-473345,0,,,1.0,-4.0,-160.72
13-49-35-484346,0,,,1.0,-4.0,-160.72
13-49-35-493352,0,,,1.0,-4.0,-160.72
13-49-35-504351,0,,,1.0,-4.0,-160.72
13-49-35-513915,0,,,1.0,-4.0,-160.72
13-49-35-524906,0,,,1.0,-4.0,-160.72
13-49-35-534915,0,,,1.0,-4.0,-160.72
13-49-35-544912,0,,,1.0,-4.0,-160.72
13-49-35-553913,0,,,1.0,-4.0,-160.72
13-49-35-563913,0,,,1.0,-4.0,-160.72
13-49-35-574912,0,,,1.0,-4.0,-160.72
13-49-35-584902,0,,,1.0,-4.0,-160.72
13-49-35-593909,0,,,1.0,-4.0,-160.72
13-49-35-603918,0,,,1.0,-4.0,-160.72
13-49-35-614166,0,,,1.0,-4.0,-160.72
13-49-35-623167,0,,,2.0,-4.0,-160.72
13-49-35-634169,0,,,2.0,-4.0,-160.72
13-49-35-644169,0,,,2.0,-4.0,-160.72
13-49-35-654157,0,,,2.0,-4.0,-160.72
13-49-35-663168,0,,,2.0,-4.0,-160.72
13-49-35-673671,0,,,2.0,-4.0,-160.72
13-49-35-684659,0,,,2.0,-4.0,-160.72
13-49-35-693665,0,,,2.0,-4.0,-160.72
13-49-35-703665,0,,,2.0,-4.0,-160.72
