time,theta,alpha,mx,my,fz,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_accel_x,imu_accel_y,imu_accel_z,Right_Hip_x,Right_Hip_y,Right_Hip_z,Right_Knee_x,Right_Knee_y,Right_Knee_z,Right_Ankle_x,Right_Ankle_y,Right_Ankle_z,Right_Ball_of_Foot_x,Right_Ball_of_Foot_y,Right_Ball_of_Foot_z,Left_Hip_x,Left_Hip_y,Left_Hip_z,Left_Knee_x,Left_Knee_y,Left_Knee_z,Left_Ankle_x,Left_Ankle_y,Left_Ankle_z,Left_Ball_of_Foot_x,Left_Ball_of_Foot_y,Left_Ball_of_Foot_z
12-50-11-263379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0447115898132324,-14.713303565979004,-178.6661376953125,-0.010068821720778942,179.95339965820312,-8.172124862670898,-1.4117071628570557,-154.70904541015625,3.7656426429748535,-1.933980353521856e-15,8.326521806944944e-16,-6.133369806233125e-16,-2.030816078186035,-140.95712280273438,-173.88966369628906,0.02576492354273796,0.14491558074951172,2.8955159187316895,-0.8052226305007935,1.0574184656143188,4.854678153991699,2.255233427696251e-16,-1.4000032661553381e-15,-0.6857361197471619
12-50-11-273379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0464885234832764,-14.712897300720215,-178.6652069091797,-0.007475693244487047,179.9527130126953,-8.171242713928223,-1.4112213850021362,-154.70773315429688,3.767164468765259,1.373169050628085e-15,1.5845293937146875e-15,1.5944808926444026e-16,-2.030682325363159,-140.95700073242188,-173.8905487060547,0.024602165445685387,0.14601323008537292,2.897233247756958,-0.8048644661903381,1.0567702054977417,4.856771469116211,-7.651635600725872e-16,-2.1879987581398426e-15,-0.6861460208892822
12-50-11-282416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0476698875427246,-14.713944435119629,-178.66419982910156,-0.006511068902909756,179.953857421875,-8.17119312286377,-1.4105571508407593,-154.708251953125,3.768111228942871,2.197006106500945e-15,-6.540590424746287e-16,1.3063386804853128e-15,-2.0304675102233887,-140.95663452148438,-173.89122009277344,0.024426063522696495,0.14772842824459076,2.897738456726074,-0.8051818609237671,1.055800437927246,4.856504440307617,4.313727465645812e-15,1.1062287348832605e-15,-0.6871093511581421
12-50-11-294381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.04984974861145,-14.713339805603027,-178.66461181640625,-0.005484709516167641,179.95413208007812,-8.172621726989746,-1.410946011543274,-154.70838928222656,3.7682130336761475,1.6516478609386446e-15,7.832549662160774e-16,-1.228514140324535e-15,-2.0294270515441895,-140.9557342529297,-173.8914794921875,0.024228665977716446,0.14648061990737915,2.8970227241516113,-0.8050158619880676,1.0562396049499512,4.855951309204102,1.658425262717202e-16,3.3889163532845957e-15,-0.6862956285476685
12-50-11-303379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0510306358337402,-14.714424133300781,-178.6637420654297,-0.005140657536685467,179.95584106445312,-8.173766136169434,-1.410961627960205,-154.7094268798828,3.7690136432647705,-1.30982117703861e-16,-1.1334824434776412e-15,-2.440732319655963e-16,-2.0297093391418457,-140.9548797607422,-173.89047241210938,0.024727489799261093,0.14493465423583984,2.896841287612915,-0.8054884672164917,1.057957410812378,4.855754375457764,7.816039719469366e-15,4.381835267352162e-15,-0.6887381076812744
12-50-11-312380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0507876873016357,-14.715723991394043,-178.6634521484375,-0.005015242844820023,179.9560089111328,-8.173738479614258,-1.410072684288025,-154.70985412597656,3.7707624435424805,5.784341409987518e-16,1.2343699967262592e-15,-2.4047739181604457e-16,-2.0298361778259277,-140.95545959472656,-173.89093017578125,0.0234867911785841,0.14734341204166412,2.895353317260742,-0.8061044216156006,1.0566431283950806,4.855959415435791,1.9766496382397913e-15,5.574680109113989e-16,-0.6861159801483154
12-50-11-322393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0496442317962646,-14.714826583862305,-178.66136169433594,-0.006517124827951193,179.95681762695312,-8.174638748168945,-1.4123371839523315,-154.71051025390625,3.770827531814575,-6.465183846012564e-16,8.001116630202668e-16,7.168963934249257e-16,-2.0305211544036865,-140.95492553710938,-173.8890838623047,0.024190284311771393,0.14671094715595245,2.898375988006592,-0.8079727292060852,1.0558459758758545,4.85668420791626,6.424684342068139e-15,4.221723593947997e-15,-0.6875579953193665
12-50-11-332912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.047795057296753,-14.717655181884766,-178.66070556640625,-0.007661912590265274,179.958251953125,-8.173746109008789,-1.412061333656311,-154.70933532714844,3.7710533142089844,-4.293335518017579e-16,8.611828443964202e-16,3.5802187444219794e-16,-2.033223867416382,-140.9532470703125,-173.88824462890625,0.024676010012626648,0.1457212269306183,2.8944926261901855,-0.8087637424468994,1.0559006929397583,4.856048107147217,1.0473016056548445e-15,3.202397157200357e-15,-0.6881924867630005
12-50-11-342913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.05165696144104,-14.717073440551758,-178.65907287597656,-0.004508267156779766,179.957275390625,-8.173067092895508,-1.4117035865783691,-154.70794677734375,3.7712602615356445,-2.053881678853965e-15,5.567199220002958e-16,9.240647704555666e-16,-2.0312423706054688,-140.95278930664062,-173.88931274414062,0.024223128333687782,0.14531829953193665,2.897728681564331,-0.8090382814407349,1.0559343099594116,4.8568925857543945,-5.343118559630964e-15,1.93562288275548e-16,-0.6898344159126282
12-50-11-351929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0503745079040527,-14.717072486877441,-178.66082763671875,-0.0052347141318023205,179.95628356933594,-8.173176765441895,-1.4119653701782227,-154.70648193359375,3.7686798572540283,1.215132290307338e-15,-1.3090559621801046e-15,2.2325755610549947e-16,-2.034026622772217,-140.95394897460938,-173.888916015625,0.02512574940919876,0.14693590998649597,2.8960511684417725,-0.8100240230560303,1.0561007261276245,4.857425689697266,-5.287560821587607e-16,2.6157328205696087e-15,-0.6900495290756226
