time,theta,alpha,mx,my,fz,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_accel_x,imu_accel_y,imu_accel_z,Right_Hip_x,Right_Hip_y,Right_Hip_z,Right_Knee_x,Right_Knee_y,Right_Knee_z,Right_Ankle_x,Right_Ankle_y,Right_Ankle_z,Right_Ball_of_Foot_x,Right_Ball_of_Foot_y,Right_Ball_of_Foot_z,Left_Hip_x,Left_Hip_y,Left_Hip_z,Left_Knee_x,Left_Knee_y,Left_Knee_z,Left_Ankle_x,Left_Ankle_y,Left_Ankle_z,Left_Ball_of_Foot_x,Left_Ball_of_Foot_y,Left_Ball_of_Foot_z,Center_of_Mass_Position_x,Center_of_Mass_Position_y,Center_of_Mass_Position_z,Center_of_Mass_Velocity_x,Center_of_Mass_Velocity_y,Center_of_Mass_Velocity_z,Center_of_Mass_Acceleration_x,Center_of_Mass_Acceleration_y,Center_of_Mass_Acceleration_z
13-09-11-831513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6967740058898926,-9.351000785827637,-179.7543182373047,-0.05118092522025108,-179.14385986328125,-8.620234489440918,-1.5983847379684448,173.14149475097656,3.508967638015747,2.9729388964044824e-15,-1.852261076460264e-16,2.6971285972197985e-17,-2.3864359855651855,-130.22727966308594,-174.29263305664062,-0.09926289319992065,-0.6128467321395874,2.666292190551758,-0.6255583763122559,-13.186500549316406,4.834689140319824,-9.772218265439916e-15,-4.935700794199329e-15,-0.304739385843277,1.3467820882797241,1.090339183807373,0.5767210125923157,0.001770557020790875,4.85312775708735e-05,7.421134068863466e-05,-0.02551216632127762,0.013658184558153152,0.02024102583527565
13-09-11-840526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6979743242263794,-9.350491523742676,-179.75518798828125,-0.05115783214569092,-179.1466064453125,-8.618202209472656,-1.597527027130127,173.1446075439453,3.5059187412261963,2.860459909030926e-15,3.720015179619197e-17,3.711526585998729e-16,-2.384474754333496,-130.22694396972656,-174.29344177246094,-0.10000769048929214,-0.6128326058387756,2.6665639877319336,-0.6233957409858704,-13.185380935668945,4.832395076751709,-2.5910352456518047e-15,-3.2580357868901766e-15,-0.308141827583313,1.346790075302124,1.0903335809707642,0.5767217874526978,0.002088256413117051,-0.0002673939452506602,7.400632603093982e-05,0.01142066903412342,-0.0077271293848752975,0.000961113313678652
13-09-11-851524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6980177164077759,-9.351621627807617,-179.75421142578125,-0.049818433821201324,-179.14720153808594,-8.61793041229248,-1.5969531536102295,173.1445770263672,3.5055460929870605,-1.1355481450777576e-15,-2.919813889925199e-16,3.6601495378852235e-16,-2.3844337463378906,-130.22552490234375,-174.2932891845703,-0.09958891570568085,-0.6126643419265747,2.6683461666107178,-0.6240531206130981,-13.185532569885254,4.834035873413086,-4.323650033106422e-15,3.045434434656728e-16,-0.30750536918640137,1.346794605255127,1.0903301239013672,0.5767232179641724,0.0017348597757518291,-4.601760156219825e-05,0.00020341158960945904,0.007131640333682299,-0.029841315001249313,0.01110752858221531
13-09-11-860528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6998555660247803,-9.352132797241211,-179.75425720214844,-0.04978165030479431,-179.1474151611328,-8.618412971496582,-1.596168041229248,173.14544677734375,3.50669527053833,1.5131401863706742e-15,-2.388666792575017e-16,-3.057408767378495e-17,-2.3845138549804688,-130.2249755859375,-174.29415893554688,-0.100192129611969,-0.611312747001648,2.667576551437378,-0.6247369647026062,-13.187256813049316,4.8336591720581055,2.9731589132125317e-15,2.3355292394202027e-15,-0.3079523742198944,1.3468012809753418,1.0903218984603882,0.5767240524291992,0.0018722862005233765,-0.0003956989385187626,6.0908645536983386e-05,-0.031397849321365356,0.021139394491910934,-0.007247846573591232
13-09-11-871524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.697973370552063,-9.351380348205566,-179.75425720214844,-0.050299324095249176,-179.14772033691406,-8.6183500289917,-1.596574068069458,173.1454620361328,3.506645679473877,-7.675654576521472e-18,-8.851071444078301e-17,1.5884542532246883e-16,-2.3848531246185303,-130.22445678710938,-174.29421997070312,-0.10019741207361221,-0.6119572520256042,2.668771266937256,-0.6230055689811707,-13.186691284179688,4.834261894226074,2.580277927221675e-15,1.0221402801984187e-15,-0.30743998289108276,1.3468036651611328,1.09032142162323,0.5767250657081604,0.001803728868253529,0.00018384131544735283,0.00021461113647092134,0.0126564996317029,-0.014649604447185993,0.010843798518180847
13-09-11-881529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.697937250137329,-9.350431442260742,-179.75538635253906,-0.0496959425508976,-179.14971923828125,-8.620012283325195,-1.5955318212509155,173.14552307128906,3.506988286972046,-6.668951915155571e-16,2.563122227787105e-16,3.314364649170335e-18,-2.385866641998291,-130.22476196289062,-174.29290771484375,-0.09909992665052414,-0.6110955476760864,2.668421745300293,-0.6231700778007507,-13.1864595413208,4.83428430557251,2.810853636233215e-15,3.371742336762541e-15,-0.30771708488464355,1.346805453300476,1.0903186798095703,0.5767266154289246,0.001460912637412548,3.798048783210106e-05,0.0003008983621839434,-0.007507818751037121,-0.002127063926309347,0.009259258396923542
13-09-11-891526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7005391120910645,-9.352046012878418,-179.75624084472656,-0.04768688976764679,-179.1468505859375,-8.621075630187988,-1.5958698987960815,173.14476013183594,3.5073325634002686,-2.124255717210694e-15,-9.273595962714878e-17,-3.0454402580082406e-16,-2.3847107887268066,-130.22491455078125,-174.2938690185547,-0.10021155327558517,-0.6117651462554932,2.6705076694488525,-0.6236535906791687,-13.186586380004883,4.836630821228027,-7.0490568914447545e-15,7.789713935468703e-15,-0.30612844228744507,1.3468106985092163,1.090311050415039,0.5767272114753723,0.0019175747875124216,-0.0005683266208507121,0.00011110755440313369,-0.007775405887514353,0.0014636660926043987,-0.010742961429059505
13-09-11-900527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6996028423309326,-9.351572036743164,-179.75711059570312,-0.04988938197493553,-179.1482391357422,-8.622289657592773,-1.5958242416381836,173.1452178955078,3.508680582046509,2.29553064958496e-15,1.5219930041584617e-16,-1.7873153546251326e-16,-2.383268117904663,-130.22369384765625,-174.29405212402344,-0.09937407076358795,-0.6137730479240417,2.667876720428467,-0.6230759024620056,-13.183666229248047,4.832517147064209,6.54680319965616e-15,-1.7980739171349035e-15,-0.30869442224502563,1.3468167781829834,1.090303897857666,0.576727569103241,0.001652167527936399,-0.00018384851864539087,0.0002240664471173659,-0.011525457724928856,0.01763930357992649,0.008687702938914299
13-09-11-910530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.698563575744629,-9.35140323638916,-179.75697326660156,-0.0497305728495121,-179.1495361328125,-8.619912147521973,-1.5947984457015991,173.14608764648438,3.506415605545044,3.085500257732159e-15,9.58420095923956e-17,-1.1307310157671632e-16,-2.3838436603546143,-130.22189331054688,-174.29136657714844,-0.09820488840341568,-0.6151647567749023,2.6672139167785645,-0.6221994161605835,-13.183229446411133,4.832929611206055,-6.017812277612773e-16,2.645355256800986e-15,-0.3087349236011505,1.34682035446167,1.090301752090454,0.5767289400100708,0.0014987736940383911,0.00019039669132325798,0.0003368353354744613,0.005756034050136805,0.0010482672369107604,0.011960184201598167
13-09-11-920542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6986216306686401,-9.351882934570312,-179.7554473876953,-0.05001010373234749,-179.1478271484375,-8.618430137634277,-1.5959429740905762,173.146240234375,3.505927562713623,-1.3532447181262958e-15,3.0529912920352167e-16,6.6929900649977706e-18,-2.385784149169922,-130.2242431640625,-174.2911376953125,-0.09878473728895187,-0.6136438250541687,2.666034460067749,-0.6228243112564087,-13.184869766235352,4.83266019821167,-1.5676305570213721e-15,5.516690433599947e-15,-0.30861249566078186,1.3468241691589355,1.0902996063232422,0.5767300128936768,0.001638656365685165,0.00012760868412442505,0.00014428974827751517,-0.0056876493617892265,0.011462835595011711,-0.010008073411881924
13-09-11-930546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6975457668304443,-9.352195739746094,-179.75665283203125,-0.04935045540332794,-179.14813232421875,-8.619446754455566,-1.5937526226043701,173.1459197998047,3.5047357082366943,-2.5036513034065516e-15,3.2052999920501566e-16,1.6982748541630665e-16,-2.38698410987854,-130.2236785888672,-174.29127502441406,-0.09797338396310806,-0.6144669055938721,2.6649281978607178,-0.6245771646499634,-13.183184623718262,4.832186222076416,-7.748299953578598e-15,9.712978686933081e-16,-0.3098418116569519,1.3468302488327026,1.090301513671875,0.5767306685447693,0.001768769696354866,0.00012790411710739136,0.00020146612951066345,-0.006667118985205889,-0.015805615112185478,0.00475061172619462
13-09-11-940975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.697332501411438,-9.352161407470703,-179.7567596435547,-0.04948630928993225,-179.14825439453125,-8.618671417236328,-1.5944116115570068,173.14663696289062,3.5034167766571045,-1.0887100818307918e-15,-1.1657117559530917e-16,1.6724735688452105e-16,-2.3876214027404785,-130.2235565185547,-174.29067993164062,-0.0981297716498375,-0.6148557066917419,2.6641733646392822,-0.6247091889381409,-13.183760643005371,4.831767559051514,3.9089668425697135e-15,3.678662766436446e-17,-0.30955827236175537,1.3468350172042847,1.0903007984161377,0.576731264591217,0.001633961801417172,-1.3504698472388554e-05,0.00012920777953695506,-0.0025053962599486113,-0.004353034775704145,-0.005065183155238628
13-09-11-950976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6980276107788086,-9.353336334228516,-179.7581329345703,-0.0501965768635273,-179.1470489501953,-8.618993759155273,-1.5953983068466187,173.14610290527344,3.501161575317383,6.239098046896183e-16,-3.4091305960474725e-17,-9.113516661851166e-17,-2.3871748447418213,-130.22213745117188,-174.29100036621094,-0.09778653085231781,-0.6154435873031616,2.66435170173645,-0.6257393956184387,-13.183830261230469,4.831717014312744,-2.023356729017288e-15,-4.77346476216345e-15,-0.3102855682373047,1.3468431234359741,1.0902960300445557,0.5767310857772827,0.0018366121221333742,-0.00041021802462637424,3.852932877634885e-06,0.0014754751464352012,-0.01723269745707512,-0.010988718830049038
13-09-11-960974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6981449127197266,-9.353789329528809,-179.7574462890625,-0.049017712473869324,-179.1454315185547,-8.617873191833496,-1.5942161083221436,173.1438751220703,3.501199960708618,-2.5080677331935355e-15,-2.596707348843534e-16,3.0056649142941587e-16,-2.3876168727874756,-130.2213592529297,-174.29148864746094,-0.097257100045681,-0.6149431467056274,2.6631767749786377,-0.6247937679290771,-13.183940887451172,4.829641819000244,3.014539013784746e-15,1.781711993451029e-15,-0.30966296792030334,1.3468523025512695,1.0902928113937378,0.5767310261726379,0.0015945379855111241,7.802460459060967e-05,0.00013477783068083227,-0.021927477791905403,-0.009123004972934723,0.012223693542182446
13-09-11-971972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6971851587295532,-9.345314025878906,-179.75714111328125,-0.04895797371864319,-179.14720153808594,-8.617451667785645,-1.5936342477798462,173.14353942871094,3.500127077102661,2.9051171800760674e-15,-3.898214500458149e-16,1.8005010106359219e-16,-2.387951612472534,-130.22900390625,-174.28878784179688,-0.09638306498527527,-0.6153960227966309,2.6593515872955322,-0.6252405643463135,-13.186902046203613,4.828294277191162,4.706526289440785e-15,1.6788586884900706e-15,-0.30810895562171936,1.346856951713562,1.0902854204177856,0.576732337474823,0.0014577668625861406,-0.00045406381832435727,0.00027583996416069567,-0.020897898823022842,0.02468990348279476,0.014390743337571621
13-09-11-981972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6995747089385986,-9.34742259979248,-179.75634765625,-0.049067046493291855,-179.14633178710938,-8.619382858276367,-1.5978338718414307,173.14454650878906,3.5035111904144287,-2.3088028088354877e-15,2.6725001216616447e-16,-1.2437673805985149e-17,-2.3859810829162598,-130.2289276123047,-174.2894744873047,-0.09581000357866287,-0.6125379800796509,2.6638948917388916,-0.6254023313522339,-13.187464714050293,4.828923225402832,5.236286740916752e-16,1.5833204659407188e-15,-0.3125411570072174,1.346856951713562,1.0902854204177856,0.576732337474823,0.0014577668625861406,-0.00045406381832435727,0.00027583996416069567,-0.020897898823022842,0.02468990348279476,0.014390743337571621
13-09-11-990974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6995747089385986,-9.34742259979248,-179.75634765625,-0.049067046493291855,-179.14633178710938,-8.619382858276367,-1.5978338718414307,173.14454650878906,3.5035111904144287,-2.3088028088354877e-15,2.6725001216616447e-16,-1.2437673805985149e-17,-2.3859810829162598,-130.2289276123047,-174.2894744873047,-0.09581000357866287,-0.6125379800796509,2.6638948917388916,-0.6254023313522339,-13.187464714050293,4.828923225402832,5.236286740916752e-16,1.5833204659407188e-15,-0.3125411570072174,1.346865177154541,1.090276837348938,0.5767356753349304,0.0015884159365668893,-8.775966853136197e-05,0.0005195317789912224,0.007705287542194128,0.016156822443008423,0.01905233971774578
13-09-12-000973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6981011629104614,-9.34891414642334,-179.75794982910156,-0.050481367856264114,-179.1455078125,-8.618611335754395,-1.598008394241333,173.1444091796875,3.5024123191833496,-1.053700516054877e-15,-2.6258074304442514e-16,-5.741835179111929e-17,-2.388845443725586,-130.22933959960938,-174.29002380371094,-0.09682852029800415,-0.6133662462234497,2.661007881164551,-0.6255627870559692,-13.18609619140625,4.827450752258301,-2.3262421584282697e-15,-3.425469848365118e-15,-0.31375136971473694,1.3468759059906006,1.0902773141860962,0.5767368674278259,0.0019315414829179645,0.0003308141021989286,0.0001800253667170182,-0.008663187734782696,0.016632718965411186,-0.02307264320552349
13-09-12-010983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6967287063598633,-9.3490571975708,-179.7582550048828,-0.05188818648457527,-179.1451416015625,-8.618083000183105,-1.5979291200637817,173.14451599121094,3.502824544906616,1.3771342236124193e-15,3.937960992112465e-16,-1.2882964816621022e-16,-2.389296770095825,-130.23001098632812,-174.29034423828125,-0.09647207707166672,-0.6130967140197754,2.659982204437256,-0.6251195669174194,-13.186424255371094,4.827107906341553,-9.564557338750447e-16,-2.162258062147495e-15,-0.31053978204727173,1.3468869924545288,1.0902783870697021,0.5767372250556946,0.0020927367731928825,0.00021926280169282109,0.00037405811599455774,-0.0006796946981921792,-0.016700992360711098,0.01696290820837021
13-09-12-020981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6967287063598633,-9.3490571975708,-179.7582550048828,-0.05188818648457527,-179.1451416015625,-8.618083000183105,-1.5979291200637817,173.14451599121094,3.502824544906616,1.3771342236124193e-15,3.937960992112465e-16,-1.2882964816621022e-16,-2.389296770095825,-130.23001098632812,-174.29034423828125,-0.09647207707166672,-0.6130967140197754,2.659982204437256,-0.6251195669174194,-13.186424255371094,4.827107906341553,-9.564557338750447e-16,-2.162258062147495e-15,-0.31053978204727173,1.3468869924545288,1.0902783870697021,0.5767372250556946,0.0020927367731928825,0.00021926280169282109,0.00037405811599455774,-0.0006796946981921792,-0.016700992360711098,0.01696290820837021
13-09-12-031492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6950182914733887,-9.351832389831543,-179.756591796875,-0.05453047156333923,-179.14344787597656,-8.615363121032715,-1.5975748300552368,173.14459228515625,3.4988832473754883,5.925240576202943e-16,-3.8035371280810035e-16,1.4065367224450862e-16,-2.389310359954834,-130.22879028320312,-174.2903594970703,-0.09860319644212723,-0.6134182810783386,2.660221576690674,-0.6240583062171936,-13.185378074645996,4.826315879821777,3.45201903730562e-15,4.399517080126095e-15,-0.30885985493659973,1.346903681755066,1.090268850326538,0.5767414569854736,0.0021411930210888386,-0.00013906053209211677,0.000424454192398116,0.0004220067639835179,-0.004439660347998142,-0.007216269616037607
13-09-12-040506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.694299578666687,-9.351841926574707,-179.75299072265625,-0.05433007702231407,-179.14418029785156,-8.611806869506836,-1.5955294370651245,173.1454315185547,3.4984474182128906,-8.632324523705388e-16,3.24952914088002e-16,8.83466415119219e-17,-2.390010356903076,-130.22840881347656,-174.2886199951172,-0.09763332456350327,-0.6139891147613525,2.6585824489593506,-0.6242597699165344,-13.18608283996582,4.826370716094971,-1.1200569077361895e-14,3.2596894069614538e-15,-0.3069003224372864,1.3469082117080688,1.090265154838562,0.5767425894737244,0.0020762616768479347,-0.00032244037720374763,0.0003735969075933099,0.00974345300346613,-0.00294246943667531,-0.003970492165535688
13-09-12-051501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6947739124298096,-9.351581573486328,-179.7539520263672,-0.054594967514276505,-179.1440887451172,-8.614092826843262,-1.5963622331619263,173.14610290527344,3.499176025390625,4.876509496570488e-16,2.8333683543063854e-16,2.8372829700116804e-16,-2.388350248336792,-130.22830200195312,-174.28968811035156,-0.09762149304151535,-0.6147628426551819,2.6594724655151367,-0.6235483884811401,-13.187368392944336,4.825308799743652,-6.8053663595526396e-15,7.797830205169293e-15,-0.30510416626930237,1.3469154834747314,1.0902609825134277,0.5767426490783691,0.0022926200181245804,-0.0003369994810782373,0.00024794565979391336,0.008881540969014168,0.01061356533318758,-0.005343680270016193
13-09-12-060504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6947739124298096,-9.351581573486328,-179.7539520263672,-0.054594967514276505,-179.1440887451172,-8.614092826843262,-1.5963622331619263,173.14610290527344,3.499176025390625,4.876509496570488e-16,2.8333683543063854e-16,2.8372829700116804e-16,-2.388350248336792,-130.22830200195312,-174.28968811035156,-0.09762149304151535,-0.6147628426551819,2.6594724655151367,-0.6235483884811401,-13.187368392944336,4.825308799743652,-6.8053663595526396e-15,7.797830205169293e-15,-0.30510416626930237,1.3469154834747314,1.0902609825134277,0.5767426490783691,0.0022926200181245804,-0.0003369994810782373,0.00024794565979391336,0.008881540969014168,0.01061356533318758,-0.005343680270016193
13-09-12-071500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6965631246566772,-9.350686073303223,-179.7551727294922,-0.055341687053442,-179.1454620361328,-8.614970207214355,-1.5968085527420044,173.14620971679688,3.500129461288452,1.970985317163265e-15,2.251737299206459e-16,3.3679033187477886e-16,-2.3878910541534424,-130.22705078125,-174.28689575195312,-0.09624484926462173,-0.6164799928665161,2.659052610397339,-0.6224571466445923,-13.184741020202637,4.825372219085693,-1.304618780085913e-15,2.053542018642116e-15,-0.3064051866531372,1.346930742263794,1.0902516841888428,0.5767418742179871,0.0023317940067499876,-0.00039974780520424247,0.0001410342811141163,-0.0025236972142010927,0.030079929158091545,-0.010894504375755787
13-09-12-081499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6983977556228638,-9.351130485534668,-179.7521514892578,-0.05271686613559723,-179.14456176757812,-8.61361312866211,-1.5956915616989136,173.1464080810547,3.500121831893921,-9.42873560565822e-16,-4.623807937017906e-17,-2.204566563769459e-16,-2.388446569442749,-130.22731018066406,-174.28713989257812,-0.09789368510246277,-0.6177255511283875,2.6577138900756836,-0.6226843595504761,-13.18342113494873,4.825449466705322,-5.4376398132480186e-15,-9.188546707970054e-16,-0.30463534593582153,1.346933364868164,1.0902464389801025,0.5767415165901184,0.0018301063682883978,-7.682618161197752e-05,0.0002865003189072013,-0.009545711800456047,0.002192003419622779,0.013226024806499481
13-09-12-091499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6976864337921143,-9.352229118347168,-179.75233459472656,-0.054526593536138535,-179.14450073242188,-8.612711906433105,-1.597487211227417,173.1458740234375,3.4991466999053955,3.111368220424832e-15,-1.4122324896197793e-16,1.0764974152134915e-16,-2.3876678943634033,-130.22634887695312,-174.28709411621094,-0.09785205870866776,-0.6174287796020508,2.657662868499756,-0.6225632429122925,-13.184731483459473,4.824858665466309,4.432335371667463e-15,-3.8390163206866116e-15,-0.30598756670951843,1.3469390869140625,1.0902410745620728,0.5767412185668945,0.002161948708817363,-0.0002906349836848676,0.00022440403699874878,-0.0007603326230309904,-0.014827468432486057,-0.0016008986858651042
13-09-12-100508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6987179517745972,-9.354375839233398,-179.75074768066406,-0.05450965464115143,-179.1434326171875,-8.612135887145996,-1.5980236530303955,173.14683532714844,3.4996211528778076,-1.89550451716754e-15,1.322251385539567e-16,2.517623058931952e-16,-2.3875441551208496,-130.22552490234375,-174.2872314453125,-0.09858706593513489,-0.616841197013855,2.6573410034179688,-0.6221144199371338,-13.184920310974121,4.822781085968018,1.1670423123643302e-15,-1.4708078090075092e-15,-0.30904731154441833,1.3469420671463013,1.0902341604232788,0.5767413973808289,0.0017663984326645732,-0.0001474702439736575,0.0004037634644191712,-0.0012818139512091875,0.006875433027744293,0.019512569531798363
13-09-12-111504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6982038021087646,-9.35451889038086,-179.75,-0.053468506783246994,-179.14295959472656,-8.61111831665039,-1.5963470935821533,173.1470947265625,3.4976212978363037,-2.960788632292593e-15,2.736117854654159e-16,2.0995569776225873e-16,-2.3868725299835205,-130.22499084472656,-174.2869873046875,-0.09750132262706757,-0.6181307435035706,2.65830659866333,-0.6215952634811401,-13.183795928955078,4.823904514312744,3.8895795289564834e-15,2.1419771287749115e-15,-0.308818519115448,1.3469465970993042,1.0902302265167236,0.5767421722412109,0.0018732796888798475,-0.00025820499286055565,0.0002748877741396427,-0.00887072179466486,-0.017766684293746948,-0.005198104307055473
13-09-12-120517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7006388902664185,-9.354940414428711,-179.74916076660156,-0.05262857675552368,-179.1420135498047,-8.608709335327148,-1.5966756343841553,173.14599609375,3.497657537460327,1.6057089231651892e-15,-3.8769475545605126e-17,1.1164620840261745e-16,-2.384718179702759,-130.22491455078125,-174.2860870361328,-0.09750698506832123,-0.6195780634880066,2.6581931114196777,-0.6214988231658936,-13.181624412536621,4.8246941566467285,-5.818397957818653e-16,2.0750460675905344e-15,-0.30694252252578735,1.346952199935913,1.0902186632156372,0.5767419338226318,0.0019497005268931389,-0.0006929994560778141,0.00023069011513143778,-0.005523773841559887,0.010301635600626469,-0.0030674762092530727
13-09-12-131510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6997541189193726,-9.353653907775879,-179.74803161621094,-0.05175649747252464,-179.1444549560547,-8.608187675476074,-1.5963895320892334,173.1483612060547,3.496737480163574,8.360267599563556e-16,-1.8168302507594332e-17,-7.781860431270218e-17,-2.3848698139190674,-130.22531127929688,-174.28634643554688,-0.09803348779678345,-0.6187223792076111,2.6595306396484375,-0.6194567084312439,-13.183409690856934,4.823988437652588,-1.005733040251866e-14,1.3240606214451225e-15,-0.30498307943344116,1.3469544649124146,1.0902150869369507,0.5767417550086975,0.00163980049546808,-5.6899934861576185e-05,0.00021873549849260598,0.013528067618608475,-0.02618781104683876,-0.00125353061594069
13-09-12-141666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7011759281158447,-9.355520248413086,-179.74874877929688,-0.052582211792469025,-179.14515686035156,-8.609477043151855,-1.5964115858078003,173.14926147460938,3.496485710144043,9.759800815372727e-17,-1.1531703743778077e-16,1.2566016668287039e-17,-2.3826982975006104,-130.22213745117188,-174.2851104736328,-0.09711895883083344,-0.6202712059020996,2.6592769622802734,-0.6197864413261414,-13.182461738586426,4.82421350479126,-8.45618317529091e-15,-1.4861315879354051e-15,-0.3048173487186432,1.3469618558883667,1.090201497077942,0.5767402648925781,0.002043629065155983,-0.0011164970928803086,-7.189522148109972e-05,0.0001603837445145473,0.02240806631743908,-0.021377718076109886
13-09-12-151665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6998299360275269,-9.352862358093262,-179.74790954589844,-0.0536416657269001,-179.14732360839844,-8.609875679016113,-1.5964597463607788,173.14808654785156,3.4969630241394043,-1.5092105887701246e-15,3.210314691795698e-16,-9.017142179554858e-17,-2.3837878704071045,-130.22323608398438,-174.28453063964844,-0.09646573662757874,-0.619596540927887,2.66007661819458,-0.6200124025344849,-13.184450149536133,4.8268022537231445,-3.617093688505985e-15,-1.5620580331405045e-15,-0.3018845319747925,1.3469643592834473,1.0902024507522583,0.5767381191253662,0.0017626903718337417,3.333123095217161e-05,-5.89601113460958e-05,-0.006445967126637697,-0.002760463859885931,-0.003160172840580344
13-09-12-161667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7015552520751953,-9.353979110717773,-179.74728393554688,-0.05043666064739227,-179.14492797851562,-8.608530044555664,-1.5955463647842407,173.14794921875,3.4953837394714355,-6.940322742610128e-16,-3.5727651191839376e-16,2.1101033319092914e-16,-2.3832287788391113,-130.2234649658203,-174.28456115722656,-0.0966365784406662,-0.6191843748092651,2.6586780548095703,-0.619185209274292,-13.18449592590332,4.824522495269775,-3.795460192472901e-15,2.6483202426932906e-16,-0.2994884252548218,1.3469704389572144,1.0902000665664673,0.576736569404602,0.0017732545966282487,-2.4426481104455888e-05,-5.449173477245495e-05,-0.012552126310765743,0.003464053850620985,0.0010452931746840477
