%time,field.mx,field.my,field.fz,field.t,,time dif,avg time,max dif
1.67694E+18,149,208,211.68,1676941311,0.942499876,,,
1.67694E+18,151,210,205.8,1676941311,0.94299984,0.000499964,0.019402817,3.362310171
1.67694E+18,138,168,211.68,1676941311,0.943359852,0.000360012,,
1.67694E+18,138,168,209.72,1676941311,0.991250038,0.047890186,,
1.67694E+18,137,167,205.8,1676941311,0.991770029,0.000519991,,
1.67694E+18,136,167,207.76,1676941311,0.992110014,0.000339985,,
1.67694E+18,136,166,209.72,1676941311,0.992419958,0.000309944,,
1.67694E+18,139,167,215.6,1676941311,1.029619932,0.037199974,,
1.67694E+18,138,168,211.68,1676941311,1.03015995,0.000540018,,
1.67694E+18,137,167,209.72,1676941311,1.030509949,0.000349998,,
1.67694E+18,135,166,213.64,1676941311,1.031080008,0.000570059,,
1.67694E+18,135,165,215.6,1676941311,1.078379869,0.047299862,,
1.67694E+18,135,165,215.6,1676941311,1.079730034,0.001350164,,
1.67694E+18,135,166,215.6,1676941311,1.080369949,0.000639915,,
1.67694E+18,135,165,215.6,1676941311,1.080719948,0.000349998,,
1.67694E+18,137,166,221.48,1676941311,1.081320047,0.0006001,,
1.67694E+18,136,166,221.48,1676941311,1.081640005,0.000319958,,
1.67694E+18,141,169,219.52,1676941311,1.127189875,0.04554987,,
1.67694E+18,140,168,223.44,1676941311,1.127789974,0.0006001,,
1.67694E+18,141,167,229.32,1676941311,1.128200054,0.00041008,,
1.67694E+18,143,168,237.16,1676941311,1.129269838,0.001069784,,
1.67694E+18,151,171,246.96,1676941311,1.129639864,0.000370026,,
1.67694E+18,156,173,252.84,1676941311,1.175879955,0.046240091,,
1.67694E+18,162,174,262.64,1676941311,1.176869869,0.000989914,,
1.67694E+18,170,176,268.52,1676941311,1.177219868,0.000349998,,
1.67694E+18,175,177,276.36,1676941311,1.17753005,0.000310183,,
1.67694E+18,177,178,282.24,1676941311,1.224639893,0.047109842,,
1.67694E+18,181,180,290.08,1676941311,1.22514987,0.000509977,,
1.67694E+18,185,182,295.96,1676941311,1.225679874,0.000530005,,
1.67694E+18,190,184,301.84,1676941311,1.226059914,0.000380039,,
1.67694E+18,193,185,301.84,1676941311,1.272919893,0.04685998,,
1.67694E+18,196,186,305.76,1676941311,1.273459911,0.000540018,,
1.67694E+18,199,186,311.64,1676941311,1.273949862,0.00048995,,
1.67694E+18,200,186,317.52,1676941311,1.274420023,0.000470161,,
1.67694E+18,202,186,323.4,1676941311,1.322219849,0.047799826,,
1.67694E+18,207,188,325.36,1676941311,1.322730064,0.000510216,,
1.67694E+18,210,189,333.2,1676941311,1.323199987,0.000469923,,
1.67694E+18,211,188,335.16,1676941311,1.323719978,0.000519991,,
1.67694E+18,214,188,343,1676941311,1.324130058,0.00041008,,
1.67694E+18,213,185,348.88,1676941311,1.324519873,0.000389814,,
1.67694E+18,218,186,352.8,1676941311,1.370889902,0.046370029,,
1.67694E+18,218,187,352.8,1676941311,1.371369839,0.000479937,,
1.67694E+18,218,185,350.84,1676941311,1.371809959,0.000440121,,
1.67694E+18,219,185,350.84,1676941311,1.372259855,0.000449896,,
1.67694E+18,215,181,354.76,1676941311,1.372560024,0.000300169,,
1.67694E+18,213,179,356.72,1676941311,1.420840025,0.048280001,,
1.67694E+18,212,178,356.72,1676941311,1.421370029,0.000530005,,
1.67694E+18,210,178,358.68,1676941311,1.42185998,0.00048995,,
1.67694E+18,212,178,354.76,1676941311,1.422379971,0.000519991,,
1.67694E+18,212,177,358.68,1676941311,1.468379974,0.046000004,,
1.67694E+18,209,176,354.76,1676941311,1.468889952,0.000509977,,
1.67694E+18,204,173,343,1676941311,1.469409943,0.000519991,,
1.67694E+18,196,170,333.2,1676941311,1.469879866,0.000469923,,
1.67694E+18,185,165,321.44,1676941311,1.565409899,0.095530033,,
1.67694E+18,172,160,295.96,1676941311,1.56595993,0.000550032,,
1.67694E+18,153,154,262.64,1676941311,1.566479921,0.000519991,,
1.67694E+18,136,150,219.52,1676941311,1.566949844,0.000469923,,
1.67694E+18,112,143,166.6,1676941311,1.614680052,0.047730207,,
1.67694E+18,89,133,117.6,1676941311,1.614939928,0.000259876,,
1.67694E+18,65,120,68.6,1676941311,1.630919933,0.015980005,,
1.67694E+18,48,104,19.6,1676941311,1.631139994,0.00022006,,
1.67694E+18,44,95,-21.56,1676941311,1.657379866,0.026239872,,
1.67694E+18,37,88,-64.68,1676941311,1.657629967,0.000250101,,
1.67694E+18,26,83,-99.96,1676941311,1.65809989,0.000469923,,
1.67694E+18,11,73,-131.32,1676941311,1.658429861,0.000329971,,
1.67694E+18,-5,76,-145.04,1676941311,1.658959866,0.000530005,,
1.67694E+18,-16,61,-156.8,1676941311,1.659309864,0.000349998,,
1.67694E+18,-14,13,-152.88,1676941311,1.659719944,0.00041008,,
1.67694E+18,-17,12,-152.88,1676941311,1.660039902,0.000319958,,
1.67694E+18,-15,13,-154.84,1676941311,1.676069975,0.016030073,,
1.67694E+18,-13,-6,-154.84,1676941311,1.676660061,0.000590086,,
1.67694E+18,-13,-36,-150.92,1676941311,1.712169886,0.035509825,,
1.67694E+18,-16,14,-154.84,1676941311,1.712440014,0.000270128,,
1.67694E+18,-20,14,-156.8,1676941311,1.733609915,0.021169901,,
1.67694E+18,-17,13,-150.92,1676941311,1.733860016,0.000250101,,
1.67694E+18,-19,11,-145.04,1676941312,1.809700012,0.075839996,,
1.67694E+18,-19,9,-148.96,1676941312,1.809949875,0.000249863,,
1.67694E+18,-19,5,-147,1676941312,1.826060057,0.016110182,,
1.67694E+18,-19,3,-145.04,1676941312,1.826289892,0.000229836,,
1.67694E+18,-17,5,-139.16,1676941312,1.842319965,0.016030073,,
1.67694E+18,-13,10,-141.12,1676941312,1.858459949,0.016139984,,
1.67694E+18,-14,8,-135.24,1676941312,1.86390996,0.00545001,,
1.67694E+18,-19,8,-135.24,1676941312,1.864340067,0.000430107,,
1.67694E+18,-14,11,-137.2,1676941312,1.864749908,0.000409842,,
1.67694E+18,-13,11,-133.28,1676941312,1.870470047,0.005720139,,
1.67694E+18,-16,8,-137.2,1676941312,1.87590003,0.005429983,,
1.67694E+18,-15,8,-137.2,1676941312,1.876760006,0.000859976,,
1.67694E+18,-15,8,-137.2,1676941312,1.907140017,0.030380011,,
1.67694E+18,-15,8,-133.28,1676941312,1.912689924,0.005549908,,
